OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF
7,1555,Blmngtn,2005,2006,5,1373,16,1555,0,2,430,Attchd,Fin,2005.0,2,0,7,Gd,Gd,Gd,Av,1,TA,3182,43.0,120,RL,1Story,20
5,1314,NAmes,1957,1957,6,1314,922,1314,0,1,294,Attchd,RFn,1957.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8400,70.0,20,RL,1Story,0
5,1344,NAmes,1958,1983,5,1024,457,1344,0,1,484,Detchd,Unf,1970.0,1,0,6,TA,TA,TA,No,1,TA,9503,73.0,20,RL,1Story,28
6,1392,NAmes,1968,1968,3,1392,0,1392,0,2,576,Attchd,RFn,1968.0,1,0,5,TA,TA,Fa,No,2,TA,13560,120.0,20,RL,1Story,0
6,1224,OldTown,1926,2004,8,818,468,818,406,1,210,Detchd,Unf,1926.0,1,0,5,TA,TA,TA,No,0,Npfireplace,3950,60.0,50,RM,1.5Fin,0
5,1363,NAmes,1951,2000,7,1008,650,1363,0,1,288,CarPort,Unf,1951.0,1,0,6,TA,Gd,TA,No,2,TA,14559,75.0,20,RL,1Story,42
8,1787,CollgCr,2001,2002,5,1753,0,1787,0,3,748,Attchd,RFn,2001.0,2,0,7,Gd,Gd,Gd,Gd,1,TA,14781,69.0,20,RL,1Story,150
7,1472,Gilbert,1991,1992,5,384,0,802,670,2,402,Attchd,RFn,1991.0,2,1,7,Gd,Gd,Gd,No,1,TA,10784,65.0,80,RL,SLvl,0
6,1876,NWAmes,1974,1974,6,901,442,943,933,2,540,Attchd,RFn,1974.0,2,1,8,Gd,Gd,TA,No,1,TA,9120,76.0,60,RL,2Story,69
8,1269,Blmngtn,2004,2005,5,1256,24,1269,0,2,430,Attchd,Fin,2004.0,2,0,6,Gd,Gd,Gd,No,1,TA,3182,43.0,120,RL,1Story,20
4,960,Sawyer,1965,2001,9,648,648,960,0,1,364,Attchd,Unf,1965.0,0,0,3,TA,TA,TA,Av,0,Npfireplace,10246,70.0,80,RL,SLvl,0
5,1795,OldTown,1954,1954,5,1050,0,1050,745,1,352,Attchd,Unf,1954.0,2,0,7,TA,TA,TA,No,0,Npfireplace,12150,81.0,50,RM,1.5Fin,0
6,1416,NWAmes,1968,1968,6,708,404,708,708,2,776,Attchd,RFn,1968.0,2,1,7,TA,TA,TA,No,1,TA,11700,90.0,60,RL,2Story,169
8,2704,NAmes,1972,1995,7,1952,1410,2000,704,2,538,Attchd,Fin,1972.0,2,1,9,Ex,Gd,Gd,Gd,3,TA,13860,75.0,80,RL,SLvl,111
5,1784,Crawfor,1914,1950,5,747,0,892,892,1,180,Detchd,Unf,1914.0,1,1,9,TA,TA,Gd,Mn,0,Npfireplace,13132,96.0,70,RL,2Story,40
6,1572,Gilbert,1995,1996,5,806,0,806,766,2,373,BuiltIn,Fin,1995.0,2,1,7,TA,TA,Gd,No,1,TA,10364,65.0,60,RL,2Story,40
4,1132,Edwards,2005,2005,5,1132,1024,1132,0,2,451,Attchd,Fin,2005.0,1,1,5,Gd,TA,Gd,No,0,Npfireplace,7024,60.0,20,RL,1Story,64
7,1337,CollgCr,2003,2003,5,1337,699,1337,0,2,531,Attchd,RFn,2003.0,2,0,6,Gd,Gd,Gd,Mn,0,Npfireplace,8450,65.0,20,RL,1Story,39
6,987,BrDale,1973,1973,5,483,309,483,504,1,264,Detchd,Unf,1973.0,1,1,5,TA,TA,TA,No,0,Npfireplace,1953,21.0,160,RM,2Story,0
5,900,NAmes,1951,2000,7,900,234,900,0,2,576,Detchd,Unf,2005.0,1,0,5,Gd,TA,TA,Mn,0,Npfireplace,7200,60.0,20,RL,1Story,32
9,1800,CollgCr,2007,2007,5,1800,0,1800,0,2,702,Attchd,Fin,2007.0,2,0,7,Ex,Gd,Ex,No,0,Npfireplace,11923,122.0,20,RL,1Story,136
9,2822,NridgHt,2008,2009,5,1734,0,1734,1088,3,1020,BuiltIn,RFn,2009.0,3,1,12,Ex,Ex,Ex,Gd,1,Gd,13891,107.0,60,RL,2Story,170
7,2646,NoRidge,1993,1993,5,1347,987,1372,1274,3,656,Attchd,RFn,1993.0,2,1,9,Gd,Gd,Gd,Gd,1,TA,9900,90.0,60,RL,2Story,60
6,1350,NAmes,1964,1964,5,1248,624,1350,0,2,520,Attchd,RFn,1964.0,1,1,6,TA,TA,TA,Gd,0,Npfireplace,9020,82.0,80,RL,SLvl,0
8,1502,StoneBr,1985,1985,5,1488,368,1502,0,2,528,Attchd,RFn,1985.0,1,1,4,Gd,Gd,Gd,Av,0,Npfireplace,6820,63.0,120,RL,1Story,54
5,694,Crawfor,1913,2002,6,440,365,694,0,1,352,Detchd,Unf,1990.0,1,0,4,Gd,TA,TA,No,1,Gd,4280,40.0,30,RL,1Story,0
6,1337,NAmes,1998,1999,5,1405,266,1337,0,2,511,Attchd,Fin,1998.0,2,0,5,Gd,Gd,Gd,No,0,Npfireplace,4060,34.0,120,RH,1Story,68
6,1116,NAmes,1962,1962,6,1116,0,1116,0,2,440,Attchd,Unf,1962.0,1,1,5,TA,TA,TA,No,0,Npfireplace,10000,87.0,20,RL,1Story,0
5,1188,Mitchel,1962,1962,7,1188,593,1188,0,1,312,Attchd,Unf,1962.0,1,0,6,TA,TA,TA,No,0,Npfireplace,26142,75.5,20,RL,1Story,39
6,2526,OldTown,1916,1950,7,714,168,1664,862,1,216,Detchd,Unf,1916.0,2,0,10,Gd,TA,TA,No,1,Gd,8520,60.0,50,RM,1.5Fin,15
6,1958,Crawfor,1946,1950,6,979,484,979,979,2,492,Attchd,Unf,1946.0,2,0,8,TA,TA,Gd,No,0,Npfireplace,7136,82.0,90,RH,2Story,0
6,1375,NAmes,1954,1954,5,1367,0,1375,0,2,451,Attchd,Unf,1954.0,1,0,5,TA,TA,TA,No,1,TA,11310,75.0,20,RL,1Story,30
8,2828,CollgCr,2006,2007,5,1466,1150,1466,1362,3,1052,BuiltIn,RFn,2006.0,3,0,11,Gd,Gd,Ex,Gd,1,TA,9965,77.0,60,RL,2Story,144
8,2448,NoRidge,1994,2005,7,1629,1361,1686,762,3,711,Attchd,RFn,1994.0,2,1,8,Gd,Gd,Gd,No,1,TA,46589,52.0,60,RL,2Story,76
8,1976,NridgHt,2006,2007,5,1976,1350,1976,0,3,908,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Ex,Gd,1,Ex,14977,110.0,20,RL,1Story,63
5,858,BrkSide,1958,2008,7,858,696,858,0,0,0,NoGarage,NoGarage,0.0,1,0,4,TA,TA,TA,Gd,0,Npfireplace,7207,50.0,20,RL,1Story,0
5,1473,ClearCr,1968,2003,8,1437,1324,1473,0,1,452,Attchd,Unf,1968.0,1,0,5,Ex,TA,TA,Gd,2,Gd,25095,65.0,20,RL,1Story,48
6,1026,NAmes,1969,2005,8,1026,439,1026,0,2,440,Detchd,RFn,1969.0,1,0,5,Gd,TA,TA,No,0,Npfireplace,7930,61.0,20,RL,1Story,48
5,894,Sawyer,1966,1966,5,894,180,894,0,1,384,Detchd,RFn,1966.0,1,0,5,TA,TA,TA,No,0,Npfireplace,7094,99.0,20,RL,1Story,0
6,2792,OldTown,1920,1950,7,1510,493,1584,1208,2,520,Detchd,Unf,1920.0,2,0,8,TA,Gd,Gd,No,2,TA,10440,60.0,50,RM,1.5Fin,547
5,1432,Veenker,1978,1978,7,1360,680,1432,0,2,588,Attchd,Unf,1978.0,1,1,5,Gd,TA,Gd,Gd,1,TA,16157,68.0,80,RL,SLvl,180
7,1217,Mitchel,1990,1991,5,1188,611,1217,0,2,497,Attchd,Unf,1990.0,2,0,6,Gd,TA,Gd,Av,0,Npfireplace,9947,75.5,80,RL,SLvl,27
7,1958,Somerst,2005,2005,5,1026,0,1026,932,3,936,Attchd,Fin,2005.0,2,1,9,Gd,Gd,Gd,No,1,Gd,10625,85.0,60,FV,2Story,210
8,1710,NridgHt,2007,2008,5,1710,1400,1710,0,3,866,Attchd,RFn,2007.0,2,0,6,Gd,Gd,Ex,Gd,1,Gd,13891,107.0,20,RL,1Story,102
7,1316,CollgCr,2007,2007,5,1316,0,1316,0,2,440,Attchd,Fin,2007.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,11175,103.0,20,RL,1Story,20
5,1099,CollgCr,1995,2006,6,1099,0,1099,0,1,352,Attchd,Unf,1999.0,1,1,6,Gd,TA,Gd,No,0,Npfireplace,9525,75.0,20,RL,1Story,0
7,1226,CollgCr,2009,2009,5,1226,0,1226,0,3,740,Attchd,RFn,2009.0,2,0,6,Gd,TA,Gd,No,0,Npfireplace,10402,94.0,20,RL,1Story,36
5,1236,Sawyer,1961,1994,7,912,465,1236,0,1,288,Attchd,Unf,1961.0,1,0,6,TA,TA,TA,No,1,TA,6993,65.0,20,RL,1Story,0
6,1675,Gilbert,1999,1999,5,841,0,892,783,2,502,BuiltIn,Fin,1999.0,2,1,7,TA,TA,Gd,No,1,TA,24682,65.0,60,RL,2Story,103
5,969,CollgCr,1975,1975,6,969,716,969,0,2,440,Attchd,Unf,1975.0,1,1,5,TA,TA,TA,Av,0,Npfireplace,10356,120.0,20,RL,1Story,0
6,816,IDOTRR,1930,2007,8,816,538,816,0,1,432,Detchd,Unf,2002.0,1,0,5,TA,Gd,TA,Av,0,Npfireplace,5890,60.0,30,RM,1Story,0
7,1446,Gilbert,1996,1997,5,729,604,729,717,2,406,Attchd,Unf,1996.0,2,1,6,TA,TA,Gd,Gd,1,TA,21872,57.0,60,RL,2Story,22
4,1100,NAmes,1960,1960,5,1100,419,1100,0,1,312,Attchd,RFn,1960.0,1,0,6,TA,TA,TA,No,1,Po,12493,73.0,20,RL,1Story,0
8,1489,Somerst,2006,2006,5,1489,0,1489,0,2,776,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Gd,No,1,Gd,11216,81.0,20,FV,1Story,140
7,1982,SawyerW,1989,1989,6,807,421,1175,807,2,575,Attchd,Fin,1989.0,2,1,7,Gd,Gd,Gd,Av,1,TA,11287,82.0,60,RL,2Story,84
6,1094,Edwards,1953,1953,5,1094,500,1094,0,2,495,Attchd,RFn,1953.0,1,0,5,TA,TA,TA,Mn,2,Gd,10452,85.0,20,RL,1Story,0
2,480,IDOTRR,1949,1950,3,480,50,480,0,1,308,Detchd,Unf,1958.0,0,0,4,TA,TA,TA,Av,0,Npfireplace,9000,50.0,20,C (all),1Story,0
5,2620,Sawyer,1977,1977,5,1361,498,1361,1259,2,600,BuiltIn,RFn,1977.0,2,2,12,TA,TA,Gd,No,1,TA,18890,70.0,90,RL,1.5Fin,24
6,1080,NAmes,1958,1958,7,1080,570,1080,0,1,288,Attchd,Unf,1958.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9464,75.0,20,RL,1Story,0
5,874,Mitchel,1968,1968,6,864,510,874,0,1,288,Attchd,RFn,1968.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9858,62.0,20,RL,1Story,0
6,1310,OldTown,1924,1950,6,617,617,865,445,1,398,Attchd,Unf,1924.0,2,0,6,TA,TA,Fa,No,0,Npfireplace,7000,50.0,50,RL,1.5Fin,0
5,1128,NAmes,1963,1963,6,1120,776,1128,0,2,525,Attchd,RFn,1963.0,2,0,6,TA,TA,TA,Mn,0,Npfireplace,8700,80.0,20,RL,1Story,20
6,1571,Gilbert,1993,1994,7,799,0,799,772,2,380,Attchd,RFn,1993.0,2,1,7,TA,Gd,Gd,No,1,TA,7837,59.0,60,RL,2Story,40
10,2633,NoRidge,2001,2002,5,2633,1282,2633,0,3,804,Attchd,RFn,2001.0,2,1,8,Ex,Ex,Ex,Gd,2,Gd,11400,91.0,20,RL,1Story,140
9,1940,NridgHt,2009,2010,5,1930,1646,1940,0,3,606,Attchd,Fin,2010.0,2,1,8,Ex,Ex,Ex,Av,1,Gd,10159,83.0,20,RL,1Story,95
4,864,NAmes,1970,1970,5,864,0,864,0,1,280,Attchd,Unf,1972.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9353,71.0,20,RL,1Story,0
7,1959,Gilbert,2004,2005,5,847,0,847,1112,2,434,BuiltIn,Fin,2004.0,2,1,8,Gd,Gd,Gd,Av,1,Gd,11796,59.0,60,RL,2Story,48
7,1861,CollgCr,2002,2002,5,916,700,920,941,2,492,BuiltIn,RFn,2002.0,2,1,8,Gd,Gd,Gd,No,0,Npfireplace,13450,95.0,60,RL,2Story,91
8,1668,CollgCr,2003,2003,5,1657,370,1668,0,2,502,Attchd,Fin,2003.0,2,0,8,Gd,Gd,Gd,Av,1,TA,10635,48.0,20,RL,1Story,262
6,1993,NWAmes,1971,1971,5,825,416,1097,896,2,495,Attchd,RFn,1971.0,2,1,8,TA,TA,TA,No,1,Gd,14803,80.0,60,RL,2Story,66
7,1248,Blmngtn,2005,2006,5,1248,16,1248,0,2,438,Attchd,Fin,2005.0,2,0,5,Gd,Gd,Gd,Av,0,Npfireplace,3010,43.0,120,RL,1Story,0
6,1688,ClearCr,1997,1997,5,616,462,616,1072,2,603,Attchd,RFn,1997.0,2,1,8,Gd,TA,Gd,Gd,0,Npfireplace,12798,79.0,60,RL,2Story,114
9,1842,Veenker,1981,1987,5,1842,1810,1842,0,3,894,Attchd,Fin,1981.0,0,1,5,Gd,Gd,Ex,Gd,1,Gd,50271,68.0,20,RL,1Story,72
5,925,NAmes,1965,1965,6,925,338,925,0,1,429,Detchd,Unf,1965.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9100,70.0,20,RL,1Story,0
5,1573,BrkSide,1930,1992,7,1078,0,1128,445,2,360,Detchd,Unf,1930.0,2,0,8,TA,TA,TA,No,1,Gd,6240,52.0,50,RM,1.5Fin,0
9,2153,CollgCr,2000,2000,5,1440,904,1476,677,3,736,Attchd,Fin,2000.0,2,1,8,Ex,Gd,Ex,Mn,2,Ex,11050,69.0,60,RL,2Story,142
4,894,Edwards,1954,1954,5,894,552,894,0,2,400,Detchd,Unf,1999.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9450,68.0,20,RL,1Story,0
9,3140,NridgHt,2008,2009,5,1926,0,1966,1174,3,820,BuiltIn,Fin,2009.0,3,1,11,Ex,Ex,Ex,No,2,Gd,13518,104.0,60,RL,2Story,78
5,1302,BrDale,1971,1971,5,630,0,630,672,1,280,Detchd,Unf,1991.0,2,1,6,TA,TA,TA,No,0,Npfireplace,1680,21.0,160,RM,2Story,0
5,1297,NAmes,1954,1990,6,1297,1213,1297,0,2,498,Attchd,Fin,1954.0,1,0,5,TA,TA,TA,No,1,TA,8532,74.0,20,RL,1Story,0
7,1500,Blmngtn,2006,2006,5,1356,1070,1500,0,3,648,Attchd,Fin,2006.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,4045,53.0,120,RL,1Story,20
6,1824,BrkSide,1919,1950,6,764,0,1060,764,2,520,Detchd,Unf,1940.0,1,0,8,TA,TA,TA,No,1,Gd,13515,60.0,70,RL,2Story,0
7,1725,NWAmes,1979,1979,6,539,315,1040,685,2,550,Attchd,RFn,1979.0,2,1,6,TA,TA,TA,No,1,TA,11584,80.0,60,RL,SLvl,88
8,1517,Crawfor,1929,1950,7,792,0,792,725,2,400,Detchd,Unf,1931.0,1,0,7,Gd,TA,Gd,No,2,Gd,11435,66.0,70,RL,2Story,0
6,1846,NAmes,1949,1950,6,1040,196,1168,678,1,315,Attchd,Unf,1949.0,2,0,7,TA,TA,TA,Mn,1,Gd,10496,78.0,50,RL,1.5Fin,0
3,720,BrkSide,1949,1950,6,0,0,720,0,1,287,Detchd,Unf,1955.0,1,0,4,TA,TA,NoBasement,NoBasement,0,Npfireplace,6627,51.0,20,RL,1Story,0
8,1734,NridgHt,2007,2007,5,1734,1004,1734,0,3,928,Attchd,RFn,2007.0,2,0,7,Ex,Gd,Ex,No,1,Gd,12085,93.0,20,RL,1Story,0
6,1575,SawyerW,1992,1992,5,1575,430,1575,0,2,529,Attchd,RFn,1992.0,2,0,5,Gd,Gd,Gd,No,0,Npfireplace,8012,50.0,120,RL,1Story,0
6,1357,Edwards,1959,2006,7,1019,719,1357,0,1,312,Basment,RFn,1959.0,1,0,5,Ex,TA,TA,Av,1,Gd,11512,124.0,80,RL,SLvl,0
5,882,CollgCr,1972,1972,5,882,138,882,0,2,461,Detchd,Unf,1980.0,1,0,5,TA,TA,TA,No,0,Npfireplace,7700,70.0,20,RL,1Story,0
5,1152,NAmes,1964,1964,7,1152,1014,1152,0,2,484,Attchd,RFn,1964.0,1,0,6,TA,TA,TA,Av,1,Gd,14112,73.0,80,RL,SLvl,0
8,1590,Somerst,2008,2008,5,768,0,786,804,2,676,Attchd,RFn,2008.0,2,1,6,Gd,Gd,Gd,No,0,Npfireplace,9000,75.0,60,FV,2Story,30
7,1774,OldTown,1931,1950,5,952,0,1022,752,2,468,Detchd,Unf,1931.0,2,0,8,TA,TA,TA,No,2,TA,6120,51.0,50,RM,1.5Fin,0
5,1620,NWAmes,1969,1969,5,780,493,780,840,2,462,Attchd,Fin,1969.0,2,1,7,TA,TA,TA,No,0,Npfireplace,10793,80.0,60,RL,2Story,0
8,2450,NoRidge,1998,1998,5,1284,781,1310,1140,3,1069,Attchd,Fin,1998.0,2,1,7,Gd,Gd,Gd,Mn,1,TA,16545,91.0,60,RL,2Story,126
7,2260,ClearCr,1996,1997,5,1306,1201,1306,954,2,533,Attchd,RFn,1996.0,2,1,7,Gd,Gd,Ex,Gd,0,Npfireplace,14000,80.0,60,RL,2Story,44
6,958,NAmes,1960,1998,8,958,498,958,0,1,301,Attchd,RFn,1960.0,1,0,5,TA,TA,TA,Mn,0,Npfireplace,12772,73.0,20,RL,1Story,0
7,1680,NWAmes,1998,1999,5,1650,144,1680,0,2,583,Attchd,Fin,1998.0,2,0,7,Gd,Gd,Ex,No,1,TA,10140,78.0,20,RL,1Story,73
5,1040,CollgCr,1978,1978,5,1040,616,1040,0,0,0,NoGarage,NoGarage,0.0,2,0,5,TA,TA,Gd,No,0,Npfireplace,8430,60.0,20,RL,1Story,0
8,1228,StoneBr,1988,1989,5,1228,767,1228,0,2,472,Attchd,Fin,1988.0,2,0,5,Gd,Gd,Gd,Mn,1,Gd,4671,40.0,120,RL,1Story,120
7,1632,Gilbert,1998,1998,5,935,0,955,677,2,462,Attchd,Fin,1998.0,2,1,8,TA,TA,Gd,No,1,TA,9084,63.0,60,RL,2Story,28
5,864,Edwards,1955,1990,7,864,167,864,0,2,572,Detchd,Unf,1957.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8172,60.0,20,RL,1Story,0
4,2230,SWISU,1912,1950,5,795,0,954,795,1,440,Detchd,Unf,1997.0,1,0,10,TA,Gd,TA,No,0,Npfireplace,6204,60.0,75,RL,2.5Fin,188
6,1644,NAmes,1953,1953,5,1416,1285,1644,0,2,418,Attchd,Fin,1953.0,1,0,7,TA,TA,TA,No,2,Gd,9600,80.0,20,RL,1Story,0
7,1762,OldTown,1920,1950,7,596,0,998,764,2,576,Detchd,Unf,1989.0,1,1,8,Gd,TA,Fa,No,0,Npfireplace,7200,60.0,70,RM,2Story,0
5,1712,NAmes,1959,2005,5,1626,528,1712,0,2,588,Attchd,Fin,2005.0,2,0,8,TA,TA,TA,No,0,Npfireplace,8393,70.0,90,RL,1Story,54
6,1367,BrkSide,1931,1950,6,884,425,959,408,1,560,Detchd,Unf,1978.0,1,0,6,TA,TA,TA,No,1,Gd,6240,52.0,50,RM,1.5Fin,0
7,1929,Somerst,2001,2001,5,1057,738,1057,872,2,650,Attchd,Fin,2001.0,2,1,7,Gd,Gd,Gd,No,1,TA,7050,72.0,60,FV,2Story,235
6,1844,Crawfor,1969,1969,5,1844,1110,1844,0,2,540,Attchd,RFn,1969.0,2,0,7,Gd,Gd,TA,Av,1,TA,16381,66.0,20,RL,1Story,73
8,2263,NoRidge,1998,1998,5,1141,0,1165,1098,2,420,BuiltIn,Fin,1998.0,2,1,10,Gd,Gd,Gd,No,1,TA,12090,93.0,60,RL,2Story,123
5,1090,Edwards,2005,2006,5,1090,980,1090,0,2,450,Attchd,Fin,2005.0,1,1,5,TA,TA,Ex,No,0,Npfireplace,7024,60.0,20,RL,1Story,49
7,1804,Gilbert,1999,1999,5,994,0,1028,776,2,442,Attchd,Fin,1999.0,2,1,7,Gd,TA,TA,No,1,TA,7500,60.0,60,RL,2Story,60
4,1346,Edwards,1910,2000,7,560,0,796,550,1,384,Detchd,Unf,1950.0,1,1,6,TA,TA,Fa,No,0,Npfireplace,11767,70.0,50,RL,2Story,24
5,1316,OldTown,1929,2001,7,926,234,926,0,2,484,Detchd,Unf,1974.0,1,0,6,TA,TA,TA,No,0,Npfireplace,5500,50.0,50,RM,1.5Fin,0
5,1050,NAmes,1956,1956,6,1050,504,1050,0,1,338,Attchd,Unf,1956.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9600,80.0,20,RL,1Story,0
5,1868,NWAmes,1976,1976,7,780,381,1088,780,2,484,Attchd,Unf,1976.0,2,1,9,Gd,TA,TA,No,1,TA,10304,80.0,60,RL,2Story,96
5,1472,OldTown,1925,1994,8,702,0,842,630,1,250,Detchd,Unf,1925.0,1,0,6,Gd,TA,TA,Mn,0,Npfireplace,9600,60.0,50,RM,1.5Fin,0
7,2696,CollgCr,2007,2007,5,1264,984,1282,1414,3,792,BuiltIn,Fin,2007.0,2,1,10,Ex,Gd,Ex,Av,1,Gd,9965,77.0,60,RL,2Story,184
7,1839,NoRidge,1998,1998,5,1195,0,1195,644,2,486,Attchd,Fin,1998.0,2,1,7,TA,Gd,Gd,No,0,Npfireplace,16770,58.0,60,RL,2Story,81
8,1441,Somerst,1999,2000,5,776,0,764,677,2,492,Detchd,Unf,1999.0,2,1,5,Gd,Gd,Gd,No,0,Npfireplace,2645,24.0,160,FV,2Story,0
5,1122,OldTown,1948,2005,7,924,144,1122,0,2,528,Attchd,Unf,1948.0,1,0,6,Gd,TA,TA,No,0,Npfireplace,12000,100.0,20,RM,1Story,36
7,1494,SawyerW,1998,1998,5,1482,1443,1494,0,2,514,Attchd,RFn,1998.0,2,0,5,Gd,Gd,Gd,Gd,1,Fa,16196,68.0,20,RL,1Story,25
6,1481,Gilbert,1994,1995,5,702,0,702,779,2,343,Attchd,Fin,1994.0,2,1,6,TA,TA,Gd,No,1,TA,8125,65.0,60,RL,2Story,36
7,2097,CollgCr,1998,1998,6,1108,975,1108,989,2,583,Detchd,RFn,1998.0,2,1,8,Gd,TA,Gd,Av,1,TA,9750,75.0,60,RL,2Story,170
6,2380,NAmes,1965,1979,5,1021,187,1465,915,2,596,CarPort,Unf,1965.0,2,1,7,TA,TA,Gd,No,1,Po,18450,73.0,60,RL,2Story,265
8,3112,NAmes,1918,1990,4,1360,1036,1360,1360,2,795,Detchd,Unf,1918.0,2,0,8,Gd,Gd,TA,No,1,Ex,25419,174.0,75,RL,2Story,16
5,875,BrkSide,1931,1993,7,715,209,875,0,1,180,Detchd,Unf,1931.0,1,0,5,TA,TA,TA,No,0,Npfireplace,6120,51.0,30,RM,1Story,0
4,1510,Edwards,1940,1950,5,755,0,755,755,1,296,Detchd,Unf,1940.0,1,0,7,TA,TA,TA,Mn,1,Gd,9084,60.0,70,RL,2Story,0
7,1320,Gilbert,2003,2003,5,660,0,660,660,2,400,Attchd,Fin,2003.0,2,1,6,Gd,Gd,Gd,No,0,Npfireplace,7750,65.0,60,RL,2Story,48
6,1913,Crawfor,1928,1950,6,896,0,1172,741,2,342,Detchd,Unf,1929.0,1,1,9,TA,TA,TA,No,1,TA,7558,57.0,50,RL,1.5Fin,0
4,630,MeadowV,1970,2002,8,630,515,630,0,1,286,Attchd,Unf,1970.0,1,0,3,Gd,TA,Gd,Av,0,Npfireplace,1526,21.0,180,RM,SFoyer,0
6,1262,Veenker,1976,1976,8,1262,978,1262,0,2,460,Attchd,RFn,1976.0,2,0,6,TA,TA,Gd,Gd,1,TA,9600,80.0,20,RL,1Story,0
6,1494,CollgCr,1997,1997,5,1479,1200,1494,0,2,576,Attchd,RFn,1997.0,2,0,6,Gd,TA,Gd,Gd,0,Npfireplace,9236,79.0,20,RL,1Story,27
7,1310,CollgCr,2005,2005,5,1310,24,1310,0,2,400,Attchd,Fin,2005.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,8767,65.0,20,RL,1Story,0
8,1659,StoneBr,2000,2000,5,1501,1158,1659,0,2,499,Attchd,Fin,2000.0,2,0,5,Ex,Gd,Gd,No,1,Ex,5664,40.0,120,RL,1Story,59
