OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF
5,1776,NAmes,1958,1958,5,1584,0,1776,0,3,888,Detchd,Unf,1968.0,2,0,9,TA,TA,TA,No,0,Npfireplace,11475,85.0,90,RL,1Story,25
7,1761,Somerst,2007,2007,6,874,0,874,887,2,578,Attchd,Fin,2007.0,3,0,7,Gd,Gd,Gd,No,0,Npfireplace,10207,84.0,60,FV,2Story,105
5,835,Edwards,1920,1950,5,458,108,835,0,1,366,Basment,Unf,1920.0,1,0,5,TA,TA,TA,No,0,Npfireplace,10625,85.0,30,RL,1Story,0
5,1576,BrkSide,1923,2004,6,1324,1309,1072,504,2,528,Attchd,RFn,1923.0,1,1,6,Gd,TA,TA,Gd,1,TA,21384,144.0,70,RL,2Story,312
6,1680,Crawfor,1915,1976,7,840,0,840,840,1,308,Attchd,Unf,1960.0,2,0,8,TA,TA,Gd,No,0,Npfireplace,15576,63.0,70,RL,2Story,0
7,1801,Crawfor,1959,1997,8,1501,1247,1801,0,2,484,Attchd,Fin,1959.0,2,0,6,TA,TA,TA,No,2,TA,15602,100.0,20,RL,1Story,54
5,1096,NAmes,1969,1969,5,1096,75,1096,0,1,299,Attchd,Fin,1969.0,1,0,6,TA,TA,TA,Mn,0,Npfireplace,15870,73.0,20,RL,1Story,32
5,2337,OldTown,1900,1950,5,662,0,1422,915,2,560,Detchd,Unf,1945.0,2,0,10,TA,TA,TA,No,0,Npfireplace,13600,85.0,190,RM,2Story,57
9,1905,Somerst,2006,2006,5,1905,0,1905,0,3,788,Attchd,Fin,2006.0,2,0,8,Ex,Ex,Ex,No,1,Gd,11670,84.0,20,RL,1Story,191
7,1430,CollgCr,2001,2002,5,1413,0,1430,0,2,605,Attchd,RFn,2001.0,2,0,6,Gd,Gd,Gd,No,0,Npfireplace,16285,67.0,20,RL,1Story,33
4,1121,Edwards,2003,2004,5,1121,0,1121,0,2,440,Attchd,RFn,2003.0,2,0,5,TA,TA,Gd,No,0,Npfireplace,8546,80.0,20,RM,1Story,64
5,1721,Sawyer,1968,1993,6,1461,570,1721,0,2,440,Attchd,RFn,1968.0,2,1,7,TA,TA,TA,No,1,TA,10335,78.0,20,RL,1Story,96
7,1850,NoRidge,1994,1994,6,973,595,979,871,2,467,BuiltIn,Fin,1994.0,2,1,7,Gd,Gd,Gd,No,1,Gd,29959,91.0,60,RL,2Story,98
6,1324,NAmes,1965,1965,5,1088,643,1324,0,2,440,Attchd,RFn,1965.0,2,0,6,TA,TA,TA,No,1,TA,8658,84.0,20,RL,1Story,138
7,1504,Blmngtn,2005,2006,5,1346,16,1504,0,2,437,Attchd,Fin,2005.0,2,0,7,Gd,Gd,Gd,No,1,Gd,3182,43.0,120,RL,1Story,20
6,1194,NAmes,1959,1959,6,1194,0,1194,0,1,312,Attchd,RFn,1959.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8760,73.0,20,RL,1Story,0
6,1800,Gilbert,2000,2000,5,982,0,1007,793,2,463,Attchd,Fin,2000.0,2,1,7,TA,TA,Gd,No,1,TA,8123,60.0,60,RL,2Story,63
6,1396,BrkSide,1915,2003,7,698,0,698,698,1,384,Detchd,Unf,2003.0,1,0,7,TA,TA,TA,No,0,Npfireplace,8730,60.0,70,RL,2Story,0
5,1056,NAmes,1968,1968,6,1056,775,1056,0,1,304,Attchd,Unf,1968.0,1,0,6,TA,TA,TA,No,1,Fa,8450,65.0,20,RL,1Story,85
5,882,NAmes,1959,1959,7,0,0,882,0,1,294,Attchd,RFn,1959.0,1,0,5,TA,TA,NoBasement,NoBasement,0,Npfireplace,8339,73.0,20,RL,1Story,0
5,924,CollgCr,1975,1975,6,924,0,924,0,1,280,Detchd,Unf,1981.0,1,0,5,TA,TA,Gd,No,0,Npfireplace,7990,88.0,20,RL,1Story,0
6,2108,Edwards,1935,1986,7,1127,626,1236,872,2,540,Basment,Unf,1935.0,2,0,7,Gd,TA,TA,No,2,TA,13728,120.0,70,RL,2Story,0
6,1694,SWISU,1925,1950,5,1181,423,1390,304,2,576,Detchd,Unf,1925.0,2,0,7,TA,TA,TA,No,1,Gd,8400,60.0,50,RL,1.5Fin,0
4,630,MeadowV,1970,1970,6,630,131,630,0,0,0,NoGarage,NoGarage,0.0,1,0,3,TA,TA,Gd,Av,0,Npfireplace,1936,21.0,180,RM,SFoyer,0
8,1580,Somerst,2007,2008,5,1580,0,1580,0,3,830,Attchd,RFn,2008.0,2,0,7,Gd,Gd,Gd,No,0,Npfireplace,11932,92.0,20,RL,1Story,24
6,1244,NAmes,1957,1957,6,1244,777,1244,0,1,336,Attchd,Unf,1957.0,1,1,6,TA,TA,TA,No,2,Gd,11988,90.0,20,RL,1Story,40
7,2034,CollgCr,1997,1998,5,1057,739,1057,977,2,645,Attchd,RFn,1998.0,2,1,8,Gd,TA,Gd,No,0,Npfireplace,9375,69.0,60,RL,2Story,36
6,1253,NAmes,1960,1960,5,1253,733,1253,0,1,352,Attchd,RFn,1960.0,1,1,5,TA,TA,TA,No,1,Fa,10920,73.0,20,RL,1Story,213
3,1699,OldTown,1900,1970,5,978,440,1014,685,2,420,CarPort,Unf,1920.0,2,0,7,TA,TA,Fa,Mn,0,Npfireplace,10615,107.0,190,RL,2Story,74
5,1048,NAmes,1956,1956,5,1048,586,1048,0,1,286,Attchd,Unf,1956.0,1,0,6,TA,TA,TA,No,0,Npfireplace,10152,72.0,20,RL,1Story,20
5,1269,NAmes,1960,1960,6,1269,374,1269,0,1,308,Detchd,Unf,1964.0,1,1,6,TA,TA,TA,No,1,Fa,7931,70.0,20,RL,1Story,0
5,1691,SWISU,1924,1950,6,1026,218,1026,665,1,308,Detchd,Unf,1924.0,2,0,6,Gd,TA,TA,No,1,Gd,5000,50.0,50,RL,1.5Fin,0
5,1656,OldTown,1916,1987,7,660,0,808,704,1,180,Detchd,Unf,1916.0,2,1,8,TA,TA,Fa,No,0,Npfireplace,10410,60.0,50,RL,1.5Fin,0
7,1714,NWAmes,1988,1988,5,980,394,980,734,2,496,Attchd,Unf,1988.0,2,1,7,TA,TA,Gd,No,1,TA,10421,80.0,60,RL,2Story,66
7,1436,CollgCr,2004,2004,5,1436,946,1436,0,2,484,Attchd,Unf,2004.0,2,0,8,Gd,Gd,Gd,Mn,0,Npfireplace,8450,65.0,20,RL,1Story,98
7,1895,Gilbert,1994,1996,5,712,0,1086,809,2,409,Attchd,Fin,1994.0,2,1,7,Gd,Gd,Gd,No,1,TA,10832,65.0,60,RL,2Story,46
7,1459,CollgCr,2002,2002,5,1459,0,1459,0,2,527,Attchd,RFn,2002.0,2,0,6,Gd,Gd,Gd,No,1,Gd,8749,70.0,20,RL,1Story,39
7,1717,Timber,1990,1991,5,1156,902,1187,530,2,400,Attchd,RFn,1990.0,2,1,7,Gd,Gd,Gd,Mn,1,TA,13758,44.0,50,RL,1.5Fin,36
7,1621,NWAmes,1984,1998,7,1208,213,1621,0,2,440,Attchd,RFn,1984.0,2,0,8,Gd,Gd,Gd,Mn,0,Npfireplace,14145,91.0,20,RL,1Story,45
4,864,NAmes,1970,1970,7,864,191,864,0,2,463,Detchd,Unf,1994.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8120,70.0,20,RL,1Story,0
5,1558,IDOTRR,1950,1950,5,910,420,910,648,1,282,Attchd,Unf,1950.0,1,1,6,TA,TA,TA,No,0,Npfireplace,13710,75.0,50,RM,1.5Fin,0
5,1248,OldTown,1930,1950,5,912,324,912,336,1,160,Detchd,Unf,1957.0,1,0,6,TA,TA,TA,No,0,Npfireplace,9439,52.0,50,RM,1.5Fin,0
6,1824,Mitchel,1971,1971,5,912,0,912,912,0,0,NoGarage,NoGarage,0.0,2,2,8,TA,TA,TA,Av,0,Npfireplace,9400,94.0,90,RL,2Story,0
5,1344,OldTown,1916,1950,5,624,0,624,720,3,513,Detchd,Unf,1916.0,1,0,7,TA,TA,TA,No,0,Npfireplace,4571,34.0,70,RM,2Story,0
7,2340,Crawfor,1941,2006,9,1152,275,1188,1152,1,252,Attchd,RFn,1941.0,2,0,9,Gd,Ex,TA,No,2,Gd,9042,66.0,70,RL,2Story,60
6,1052,ClearCr,1971,1971,7,1010,504,1052,0,2,440,Attchd,Unf,1971.0,1,0,6,TA,TA,TA,Av,0,Npfireplace,8816,80.0,80,RL,SLvl,0
8,1939,Somerst,2006,2006,5,1095,0,1095,844,3,1053,Attchd,RFn,2006.0,2,1,8,Gd,Gd,Gd,Mn,1,Gd,10728,84.0,60,FV,2Story,51
5,691,OldTown,1920,1950,6,691,0,691,0,1,216,Detchd,Unf,1920.0,1,0,4,Ex,TA,Fa,No,0,Npfireplace,5400,60.0,30,RL,1Story,20
6,1279,Mitchel,1977,1977,6,1196,641,1279,0,2,473,Detchd,Unf,1980.0,2,0,6,TA,TA,TA,No,2,Fa,10125,75.0,20,RL,1Story,83
9,2668,NridgHt,2003,2004,5,1572,1016,1572,1096,3,726,BuiltIn,Fin,2003.0,2,1,10,Ex,Gd,Ex,Av,2,Gd,13688,110.0,60,RL,2Story,0
7,2031,CollgCr,1998,1999,5,1153,252,1153,878,2,541,Attchd,Fin,1998.0,2,1,8,Gd,Gd,Gd,Av,1,TA,11404,75.0,60,RL,2Story,84
5,672,Sawyer,1940,1997,8,672,0,672,0,1,240,Detchd,Unf,1940.0,1,0,4,TA,TA,TA,No,0,Npfireplace,10200,60.0,30,RL,1Story,0
4,1092,IDOTRR,1930,1950,5,0,0,372,720,0,0,NoGarage,NoGarage,0.0,2,0,7,Fa,Fa,NoBasement,NoBasement,0,Npfireplace,5600,70.0,190,RM,2Story,0
6,986,BrkSide,1926,1950,5,960,0,986,0,1,180,Detchd,Unf,1926.0,1,0,5,TA,TA,TA,No,1,Gd,6180,60.0,30,RM,1Story,128
7,1535,NridgHt,2004,2004,5,1517,2,1535,0,2,532,Attchd,RFn,2004.0,2,0,7,Gd,Gd,Gd,No,0,Npfireplace,10171,70.0,20,RL,1Story,0
8,1646,Timber,2007,2008,5,1638,1513,1646,0,3,800,Attchd,RFn,2008.0,2,0,7,Gd,Gd,Gd,Gd,1,Gd,9520,71.0,20,RL,1Story,44
7,3082,SWISU,1920,1970,3,824,523,1687,998,2,672,Basment,Fin,1970.0,2,1,12,TA,TA,TA,No,2,TA,15863,102.0,75,RL,2.5Fin,63
6,1658,Gilbert,1995,1996,5,773,219,773,885,2,431,Attchd,Fin,1995.0,2,1,8,TA,TA,Gd,No,1,TA,8000,65.0,60,RL,2Story,84
7,1442,Gilbert,1990,1990,5,1424,0,1442,0,2,500,Attchd,RFn,1990.0,2,0,5,TA,TA,Gd,No,0,Npfireplace,11851,99.0,20,RL,1Story,34
9,1561,NridgHt,2005,2005,5,1561,1153,1561,0,2,556,Attchd,Fin,2005.0,2,0,6,Ex,Ex,Ex,No,1,Gd,7313,60.0,120,RL,1Story,47
5,2020,SawyerW,1977,1977,5,0,0,2020,0,2,630,Detchd,Unf,1977.0,2,0,10,TA,TA,NoBasement,NoBasement,2,TA,8400,60.0,90,RH,1Story,0
5,1041,NAmes,1959,1959,6,1041,991,1041,0,1,270,Attchd,RFn,1959.0,1,0,6,TA,TA,TA,No,0,Npfireplace,9600,80.0,20,RL,1Story,88
6,1236,OldTown,1957,1996,7,912,600,1236,0,2,923,Attchd,Unf,1957.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7407,90.0,20,RM,1Story,158
6,1608,SWISU,1925,1990,6,976,264,1160,448,1,216,Detchd,Unf,1925.0,2,1,7,Gd,TA,TA,No,1,Gd,6171,51.0,50,RL,1.5Fin,16
5,1235,NAmes,1961,1961,3,1235,600,1235,0,2,480,Attchd,Unf,1961.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8500,85.0,20,RL,1Story,0
6,1661,NAmes,1955,1996,6,992,831,1661,0,1,377,BuiltIn,RFn,1955.0,1,0,8,Gd,TA,TA,Av,1,TA,9600,80.0,80,RL,SLvl,28
4,858,NAmes,1971,1971,6,858,322,858,0,1,684,Detchd,Unf,1979.0,1,0,4,TA,TA,TA,No,0,Npfireplace,7340,73.0,20,RL,1Story,0
9,2504,StoneBr,2005,2007,5,1122,0,1134,1370,3,656,BuiltIn,Fin,2005.0,2,1,11,Ex,Gd,Gd,No,1,Gd,11198,77.0,60,RL,2Story,39
5,1604,Edwards,1941,1960,5,984,408,984,620,2,660,Detchd,Unf,1977.0,2,0,6,TA,TA,TA,No,0,Npfireplace,10998,60.0,50,RL,1.5Fin,68
6,1004,Mitchel,1977,1977,5,975,975,1004,0,2,504,Attchd,Unf,1977.0,1,0,4,TA,TA,Gd,Gd,0,Npfireplace,10530,78.0,90,RL,SFoyer,0
5,1440,OldTown,1900,1950,4,540,0,889,551,1,352,Attchd,Unf,1940.0,1,0,6,TA,TA,TA,No,0,Npfireplace,5000,63.0,50,RM,1.5Fin,0
7,1494,CollgCr,2006,2007,5,1494,0,1494,0,3,840,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Gd,Av,1,Gd,10652,91.0,20,RL,1Story,33
7,2353,NWAmes,1980,1980,7,845,692,1153,1200,2,484,Attchd,RFn,1983.0,2,1,10,Ex,Gd,Gd,No,1,TA,13005,94.0,60,RL,2Story,195
8,1915,SawyerW,1992,1992,5,908,789,927,988,2,506,Attchd,Fin,1992.0,2,1,8,Gd,Gd,Gd,Mn,1,TA,10041,80.0,60,RL,2Story,150
7,1479,CollgCr,1999,2000,5,1468,0,1479,0,2,577,Attchd,RFn,1999.0,2,0,6,Gd,Gd,Gd,No,0,Npfireplace,9382,93.0,20,RL,1Story,25
9,1652,NridgHt,2006,2007,5,1652,1572,1652,0,2,840,Attchd,Fin,2006.0,2,0,6,Ex,Gd,Ex,No,2,Ex,13173,108.0,20,RL,1Story,102
5,1867,ClearCr,1955,1993,5,1617,379,1867,0,1,303,Attchd,Fin,1955.0,1,0,7,TA,Gd,TA,No,3,Gd,10708,80.0,20,RL,1Story,0
5,1800,NAmes,1961,1961,4,1800,0,1800,0,0,0,NoGarage,NoGarage,0.0,2,0,10,TA,TA,TA,No,0,Npfireplace,8000,80.0,90,RL,1Story,0
8,2376,NridgHt,2005,2006,5,1158,0,1158,1218,3,853,BuiltIn,RFn,2005.0,3,1,9,Gd,Gd,Ex,Av,1,Gd,14215,101.0,60,RL,2Story,154
6,1839,NAmes,1966,1966,5,756,0,1051,788,2,442,Attchd,Unf,1966.0,1,1,7,TA,TA,TA,No,1,TA,7700,70.0,60,RL,2Story,124
6,1456,NPkVill,1978,1978,5,855,311,855,601,2,440,Attchd,Unf,1978.0,2,1,7,TA,TA,Gd,No,1,TA,2280,24.0,160,RL,2Story,0
5,1144,NAmes,1961,1961,6,1144,572,1144,0,2,456,Attchd,Unf,1961.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7875,75.0,20,RL,1Story,0
5,1250,Crawfor,1910,2003,6,661,0,661,589,2,552,Detchd,Unf,1985.0,2,0,8,TA,TA,TA,No,1,Gd,5362,53.0,50,RL,1.5Fin,0
7,2295,NoRidge,1992,2000,5,1095,728,1166,1129,2,590,Attchd,RFn,1992.0,2,1,9,Gd,Gd,Gd,No,1,TA,13346,91.0,60,RL,2Story,40
6,2201,Edwards,1966,1966,7,697,0,1575,626,2,432,Attchd,Unf,1966.0,2,0,8,Gd,Gd,Gd,Av,1,Gd,19690,67.0,80,RL,SLvl,236
6,1362,NridgHt,2005,2006,5,1362,20,1362,0,2,460,Attchd,RFn,2005.0,2,0,6,Gd,Gd,Gd,Av,1,Gd,7577,61.0,120,RL,1Story,28
6,2872,NWAmes,1977,1995,7,1330,896,1542,1330,2,619,Attchd,Fin,1977.0,2,1,11,TA,TA,Gd,No,1,TA,12227,80.0,60,RL,2Story,282
8,1593,StoneBr,2001,2002,5,1593,1153,1593,0,2,682,Attchd,Fin,2001.0,1,1,5,Ex,Gd,Ex,Av,1,Gd,4923,41.0,120,RL,1Story,120
8,2612,NoRidge,1998,1999,5,1225,854,1276,1336,3,676,Attchd,Fin,1998.0,2,1,8,Gd,Gd,Gd,No,1,TA,12203,98.0,60,RL,2Story,0
8,2576,StoneBr,2006,2006,5,1234,0,1264,1312,3,666,BuiltIn,Fin,2006.0,2,1,10,Ex,Ex,Ex,No,1,Gd,12438,82.0,60,RL,2Story,100
7,1368,NridgHt,2005,2006,5,1368,0,1368,0,2,474,Attchd,RFn,2005.0,2,0,6,Gd,Gd,Gd,No,1,Gd,6792,40.0,120,RL,1Story,35
7,1709,Edwards,2004,2004,5,970,0,970,739,2,380,Detchd,Unf,2004.0,2,0,7,Gd,Gd,Gd,No,0,Npfireplace,2522,24.0,160,RM,2Story,40
5,970,Sawyer,1963,1963,6,970,630,970,0,2,624,Detchd,Unf,1996.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8480,80.0,20,RL,1Story,24
6,2654,NWAmes,1968,1984,7,1054,619,1512,1142,2,619,Attchd,Unf,1968.0,2,1,9,Gd,TA,TA,Mn,1,Gd,11029,80.0,60,RL,2Story,65
4,1140,OldTown,1910,2004,7,576,0,792,348,0,0,NoGarage,NoGarage,0.0,1,0,7,TA,TA,TA,No,0,Npfireplace,8800,55.0,50,RM,1.5Fin,160
6,1302,NAmes,1964,1991,7,1302,270,1302,0,1,309,Attchd,RFn,1964.0,2,0,7,Gd,TA,Gd,Gd,0,Npfireplace,9350,85.0,80,RL,SLvl,0
7,1108,IDOTRR,1930,1950,7,637,0,1108,0,1,280,Attchd,Unf,1930.0,1,0,6,Gd,TA,TA,No,1,Gd,7449,57.0,45,RM,1.5Unf,0
4,960,OldTown,1920,1950,4,960,250,960,0,1,308,Detchd,Unf,1997.0,1,0,5,Fa,TA,TA,No,0,Npfireplace,6000,50.0,30,RM,1Story,0
8,1935,Somerst,2009,2009,5,832,544,832,1103,2,552,BuiltIn,Fin,2009.0,2,1,8,TA,Gd,Gd,No,0,Npfireplace,8004,75.0,60,FV,2Story,150
4,1622,Mitchel,1961,1975,4,1249,1159,1622,0,4,1356,2Types,Fin,1975.0,1,0,7,TA,TA,TA,Av,1,TA,32463,75.5,190,RL,1Story,0
4,864,Gilbert,1951,1951,5,864,120,864,0,2,400,Detchd,Unf,1951.0,1,0,4,TA,TA,TA,No,0,Npfireplace,19138,140.0,20,RL,1Story,0
7,1416,Somerst,1999,1999,5,696,604,696,720,2,484,Detchd,Unf,1999.0,2,1,6,Gd,Gd,Gd,No,0,Npfireplace,2572,24.0,160,FV,2Story,44
5,1211,Sawyer,1968,1968,5,952,250,1211,0,1,322,Attchd,Unf,1968.0,1,0,5,TA,TA,TA,No,1,TA,8250,55.0,20,RL,1Story,63
5,1184,Edwards,1910,1996,3,658,0,658,526,0,0,NoGarage,NoGarage,0.0,1,0,8,TA,TA,TA,No,0,Npfireplace,8410,58.0,50,RL,1.5Fin,151
5,1086,NAmes,1966,1966,5,1024,516,1086,0,2,484,Attchd,RFn,1966.0,1,0,6,TA,TA,TA,Av,1,Gd,13400,85.0,80,RL,SLvl,0
5,1112,MeadowV,1976,1976,3,536,129,536,576,1,336,Attchd,Unf,1976.0,1,1,4,TA,TA,Gd,No,0,Npfireplace,2592,36.0,160,RM,2Story,0
6,1117,Edwards,1976,1976,5,1029,422,1117,0,2,672,Detchd,Unf,1976.0,1,0,6,TA,TA,TA,Av,1,TA,7819,94.0,80,RL,SLvl,0
4,872,NAmes,1971,1971,5,858,0,872,0,4,480,Detchd,Unf,1974.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8294,70.0,20,RL,1Story,0
7,2157,NAmes,1966,1966,6,924,445,1216,941,2,487,Attchd,Fin,1966.0,2,1,8,Gd,TA,TA,No,2,Gd,14200,88.0,60,RL,2Story,66
5,1131,OldTown,1941,1950,6,676,0,676,455,1,200,Detchd,Unf,1941.0,1,1,5,TA,TA,TA,No,0,Npfireplace,5720,52.0,50,RM,1.5Fin,0
5,936,OldTown,1980,1980,5,936,936,936,0,2,672,Detchd,Unf,1980.0,1,0,4,TA,TA,Gd,Gd,0,Npfireplace,7200,60.0,90,RM,SFoyer,0
8,1646,Crawfor,2004,2005,5,1594,1373,1646,0,2,482,Attchd,Fin,2004.0,2,0,5,Gd,Gd,Ex,Gd,1,Gd,3842,44.0,120,RM,1Story,53
6,1224,Somerst,2009,2009,5,612,0,612,612,2,528,Detchd,RFn,2009.0,2,1,4,Gd,Gd,Gd,Av,0,Npfireplace,3951,40.0,160,FV,2Story,234
5,1056,NAmes,1958,1992,6,1056,846,1056,0,1,308,Attchd,RFn,1958.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8176,70.0,20,RL,1Story,0
6,1868,NWAmes,1984,2003,7,585,0,1140,728,2,477,BuiltIn,Fin,1984.0,3,1,7,TA,TA,Gd,No,1,TA,12090,78.0,80,RL,SLvl,112
5,1644,NAmes,1942,1995,7,728,386,888,756,1,312,Attchd,Unf,1942.0,1,1,7,Gd,TA,TA,No,2,Gd,9480,79.0,70,RL,2Story,0
4,1123,IDOTRR,1939,1950,5,732,0,772,351,1,264,Detchd,Unf,1979.0,1,0,4,TA,TA,TA,No,0,Npfireplace,6060,50.0,50,RM,1.5Fin,0
7,1302,Gilbert,2007,2007,5,1302,0,1302,0,2,436,Attchd,Fin,2007.0,2,0,6,Gd,Gd,Gd,Av,0,Npfireplace,8993,73.0,20,RL,1Story,22
5,950,NAmes,1971,1971,5,950,412,950,0,1,280,Detchd,Unf,1981.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9758,61.0,20,RL,1Story,0
6,1252,NAmes,1950,1950,5,1032,280,1032,220,1,288,Attchd,Unf,1950.0,1,0,6,TA,TA,TA,No,0,Npfireplace,9600,80.0,50,RL,1.5Fin,0
8,2526,NoRidge,1994,1994,5,1165,740,1203,1323,3,844,Attchd,RFn,1994.0,2,1,8,Gd,Gd,Gd,No,1,TA,10120,92.0,60,RL,2Story,78
5,1148,NAmes,1959,1959,5,1148,1148,1148,0,1,672,Attchd,Unf,1959.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7931,70.0,20,RL,1Story,0
6,2210,OldTown,1880,1950,4,1008,0,1178,1032,1,205,Detchd,Unf,1930.0,2,0,8,Fa,TA,TA,Mn,0,Npfireplace,9900,90.0,70,RM,2Story,48
