OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,BsmtFinSF1,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,HasGarage,HasBasement,TotalSF,TotalBathrooms,Qual_High,Qual_Low,SalePrice
6,1285,Sawyer,1977,1977,5,0,2,528,Attchd,RFn,1977.0,7,TA,TA,TA,No,1,TA,8197,71.0,20,RL,1Story,0,1,1,1945,1.5,0,0,143500
5,1728,NAmes,1964,1964,4,40,1,352,Detchd,Unf,2002.0,10,TA,TA,TA,No,0,Npfireplace,10624,73.0,90,RL,1Story,0,1,1,3456,2.0,0,0,119000
6,1502,Crawfor,1923,1996,7,0,1,180,Detchd,Unf,1923.0,7,Gd,TA,TA,No,2,TA,10592,55.0,70,RL,2Story,0,1,1,2104,1.5,0,0,165000
5,1376,NAmes,1941,1950,5,368,1,240,Attchd,Unf,1941.0,6,TA,TA,TA,No,1,Gd,9492,79.0,50,RL,1.5Fin,0,1,1,2144,1.0,0,0,105000
4,816,Edwards,1938,1958,6,690,1,288,Detchd,Unf,1958.0,3,TA,TA,TA,Mn,1,Gd,8877,67.0,20,RL,1Story,0,1,1,1632,1.0,0,1,100000
7,1368,NridgHt,2005,2006,5,0,2,474,Attchd,RFn,2005.0,6,Gd,Gd,Gd,No,1,Gd,6955,48.0,120,RL,1Story,35,1,1,2736,2.0,0,0,202500
9,2224,NridgHt,2004,2005,5,1170,3,738,Attchd,Fin,2004.0,10,Ex,Gd,Ex,No,1,Gd,8834,74.0,60,RL,2Story,0,1,1,3686,2.5,1,0,350000
4,1092,MeadowV,1973,1973,5,334,1,286,Attchd,RFn,1973.0,6,TA,TA,TA,No,0,Npfireplace,1974,21.0,160,RM,2Story,96,1,1,1638,1.5,0,1,83500
5,965,SawyerW,1965,1965,5,641,1,300,Detchd,Unf,1979.0,6,TA,TA,TA,No,0,Npfireplace,7800,60.0,20,RH,1Story,0,1,1,1793,1.0,0,0,119900
7,1494,CollgCr,2002,2002,5,922,2,530,Attchd,RFn,2002.0,6,Gd,Gd,Gd,Mn,1,TA,12803,88.0,20,RL,1Story,36,1,1,2988,2.0,0,0,221000
5,882,OldTown,1956,1956,5,0,1,308,Detchd,Unf,1956.0,4,TA,TA,NoBasement,NoBasement,0,Npfireplace,12702,70.0,20,RM,1Story,45,1,0,882,1.0,0,0,97000
5,1539,OldTown,1904,2002,8,0,2,686,Detchd,Unf,1983.0,8,Gd,TA,TA,No,1,Po,10440,60.0,70,RM,2Story,78,1,1,2189,2.0,0,0,157500
7,1573,CollgCr,2002,2002,5,788,2,544,Attchd,RFn,2002.0,6,Gd,Gd,Gd,No,0,Npfireplace,9808,67.0,20,RL,1Story,72,1,1,3146,2.0,0,0,227000
7,1720,Gilbert,2004,2004,5,0,2,440,Attchd,Fin,2004.0,7,Gd,Gd,Gd,No,1,Gd,8244,62.0,60,RL,2Story,48,1,1,2560,2.5,0,0,183500
5,1319,NAmes,1953,1953,6,428,1,270,Attchd,Unf,1953.0,5,TA,TA,TA,No,0,Npfireplace,10634,79.0,20,RL,1Story,0,1,1,1927,1.0,0,0,123000
7,1240,CollgCr,2006,2006,5,0,3,826,Attchd,RFn,2006.0,5,Gd,Gd,Gd,Av,0,Npfireplace,8556,74.0,20,RL,1Story,93,1,1,2480,2.0,0,0,194000
7,1797,CollgCr,2006,2006,5,0,2,639,Attchd,RFn,2006.0,8,Gd,Gd,Gd,Av,0,Npfireplace,9245,79.0,60,RL,2Story,53,1,1,2736,2.5,0,0,213500
7,1820,NAmes,1965,1988,6,454,2,492,Attchd,Unf,1965.0,8,Gd,TA,TA,Gd,2,Gd,13700,73.0,60,RL,2Story,84,1,1,2684,2.0,0,0,201800
4,1040,Mitchel,1963,1963,5,633,2,648,Attchd,Unf,1963.0,5,TA,TA,TA,Gd,0,Npfireplace,25286,94.0,20,RL,1Story,0,1,1,2104,1.0,0,1,132250
7,1314,NridgHt,2007,2008,5,904,2,626,Attchd,RFn,2008.0,6,Gd,Gd,Gd,No,1,Gd,5001,34.0,120,RL,1Story,62,1,1,2628,2.0,0,0,230000
5,1385,NAmes,1952,1952,4,507,2,720,Detchd,Unf,2000.0,6,TA,TA,TA,No,0,Npfireplace,8520,71.0,50,RL,1.5Fin,0,1,1,2295,2.0,0,0,166000
7,1668,CollgCr,2003,2003,5,0,2,500,Attchd,RFn,2003.0,8,Gd,Gd,Gd,No,0,Npfireplace,11317,72.0,60,RL,2Story,68,1,1,2508,2.5,0,0,180000
5,928,NAmes,1956,2000,7,377,1,252,Attchd,Unf,1956.0,4,TA,TA,Gd,No,0,Npfireplace,13300,70.0,20,RL,1Story,0,1,1,1856,1.0,0,0,132000
10,1718,NridgHt,2006,2007,5,1172,3,786,Attchd,Fin,2008.0,7,Ex,Ex,Ex,Gd,1,Gd,12456,96.0,20,RL,1Story,48,1,1,3418,2.0,1,0,337500
7,1442,SawyerW,1990,1991,5,738,2,719,Attchd,Fin,1990.0,6,Gd,Gd,Gd,Mn,1,TA,10357,114.0,20,RL,1Story,244,1,1,2352,2.0,0,0,179900
6,1458,Somerst,1999,1999,5,419,2,440,Detchd,Unf,1999.0,5,TA,TA,Gd,No,1,Fa,3230,34.0,160,FV,2Story,32,1,1,2187,2.5,0,0,176000
6,980,Edwards,1975,1975,5,945,0,0,NoGarage,NoGarage,0.0,4,TA,TA,Gd,Gd,0,Npfireplace,9400,35.0,90,RL,SFoyer,0,0,1,1925,2.0,0,0,127500
3,1040,NAmes,1950,1950,4,0,2,400,Detchd,Unf,1987.0,6,TA,TA,NoBasement,NoBasement,0,Npfireplace,8544,60.0,90,RL,1Story,0,1,0,1040,2.0,0,1,92900
8,2473,NridgHt,2004,2005,5,0,3,852,BuiltIn,RFn,2004.0,9,Gd,Gd,Ex,Av,1,Gd,9591,76.0,60,RL,2Story,151,1,1,3616,2.5,1,0,317000
6,981,NAmes,1971,1971,5,282,2,576,Detchd,Unf,1979.0,5,TA,TA,TA,No,0,Npfireplace,10530,73.0,20,RL,1Story,312,1,1,1962,1.5,0,0,143250
9,1746,Gilbert,2006,2007,5,1320,3,758,Attchd,Fin,2006.0,7,Ex,Ex,Ex,Gd,2,Gd,14892,42.0,20,RL,1Story,39,1,1,3492,2.0,1,0,377500
4,1440,Edwards,1955,1955,4,133,0,0,NoGarage,NoGarage,0.0,8,Fa,TA,TA,No,0,Npfireplace,12108,92.0,90,RL,1Story,0,0,1,2880,2.0,0,1,118000
8,2113,NoRidge,1995,1995,6,1696,3,839,Attchd,Fin,1995.0,7,Gd,Gd,Gd,Gd,1,TA,10437,91.0,20,RL,1Story,46,1,1,4222,2.5,1,0,350000
5,1044,IDOTRR,1952,1952,5,0,2,504,Basment,Unf,1952.0,4,Fa,Fa,TA,Av,0,Npfireplace,8712,66.0,20,C (all),1Story,0,1,1,1584,1.0,0,0,55993
1,334,BrkSide,1946,1950,3,0,0,0,NoGarage,NoGarage,0.0,2,Fa,Fa,NoBasement,NoBasement,0,Npfireplace,5000,50.0,20,RL,1Story,0,0,0,334,1.0,0,1,39300
7,1363,ClearCr,1954,2005,7,226,2,439,Attchd,Unf,1954.0,5,TA,TA,Gd,Gd,2,TA,39104,73.0,20,RL,1Story,0,1,1,2748,1.0,0,0,241500
6,1671,Gilbert,2000,2000,5,786,2,472,Attchd,Fin,2000.0,7,TA,TA,Gd,No,1,TA,10852,58.0,60,RL,2Story,38,1,1,2630,2.5,0,0,173000
6,1429,NAmes,1960,1987,6,594,2,572,Attchd,Unf,1960.0,7,Gd,TA,TA,No,2,Gd,14585,73.0,20,RL,1Story,110,1,1,2573,1.0,0,0,181900
7,2520,NoRidge,1995,1995,5,565,3,721,Attchd,RFn,1995.0,9,Gd,Gd,Gd,No,1,TA,9950,82.0,60,RL,2Story,114,1,1,3723,2.5,0,0,290000
5,1050,NAmes,1961,1961,6,915,1,368,Attchd,Unf,1961.0,6,TA,TA,TA,No,0,Npfireplace,10659,73.0,20,RL,1Story,319,1,1,2100,1.0,0,0,136500
6,1977,NAmes,1964,1978,6,442,2,540,Attchd,RFn,1964.0,9,TA,TA,TA,No,1,TA,9500,100.0,60,RL,2Story,52,1,1,2793,1.5,0,0,165000
5,912,Sawyer,1967,1967,5,842,1,336,Detchd,Unf,1974.0,5,TA,TA,TA,No,1,Fa,8521,70.0,20,RL,1Story,0,1,1,1824,1.0,0,0,125000
7,1145,Blmngtn,2005,2006,5,16,2,397,Attchd,Fin,2005.0,5,Gd,Gd,Gd,No,1,Gd,3182,43.0,120,RL,1Story,16,1,1,2290,2.0,0,0,160200
6,1176,BrkSide,1934,1950,6,0,2,528,Detchd,Unf,1985.0,6,TA,TA,TA,No,1,Gd,6240,52.0,50,RM,1.5Fin,0,1,1,1632,1.0,0,0,114500
8,1578,Somerst,2008,2009,5,0,3,840,Attchd,Fin,2008.0,7,Ex,Gd,Gd,No,1,Gd,9262,78.0,20,RL,1Story,36,1,1,3151,2.0,1,0,287090
6,2447,SWISU,1919,1990,7,0,1,336,Detchd,Unf,1969.0,10,Gd,TA,TA,No,1,Gd,9638,50.0,50,RL,1.5Fin,0,1,1,3251,2.0,0,0,169000
5,1057,Sawyer,1962,1962,5,417,2,576,Detchd,Fin,1977.0,6,TA,TA,TA,No,0,Npfireplace,7420,70.0,20,RL,1Story,0,1,1,2114,1.0,0,0,132000
7,1852,Somerst,2009,2009,5,822,2,644,Attchd,RFn,2009.0,7,Gd,TA,Gd,No,1,TA,8640,72.0,60,FV,2Story,108,1,1,2752,2.5,0,0,252678
6,1679,SawyerW,1994,1998,5,1138,2,575,Attchd,RFn,1994.0,7,Gd,TA,Gd,No,1,Fa,8125,65.0,20,RL,1Story,42,1,1,3087,2.0,0,0,193500
8,1566,Somerst,2008,2008,5,1078,2,750,Attchd,RFn,2008.0,7,Gd,Gd,Gd,Av,0,Npfireplace,9000,75.0,20,FV,1Story,168,1,1,3132,2.0,1,0,262500
5,1230,OldTown,1910,1981,6,0,2,440,Detchd,Unf,1966.0,5,TA,TA,TA,No,0,Npfireplace,10440,60.0,50,RM,2Story,0,1,1,1670,1.5,0,0,110000
7,1080,SawyerW,2004,2005,5,680,0,0,NoGarage,NoGarage,0.0,6,Gd,TA,Gd,No,0,Npfireplace,7500,63.0,20,RL,1Story,0,0,1,2160,1.0,0,0,141000
7,1422,CollgCr,2004,2004,5,0,2,626,Attchd,RFn,2004.0,7,Gd,Gd,Gd,Av,0,Npfireplace,8500,63.0,20,RL,1Story,60,1,1,2844,2.0,0,0,179600
8,1689,Mitchel,2002,2002,5,1218,3,857,Attchd,RFn,2002.0,7,Gd,Gd,Gd,No,2,Gd,13265,75.5,20,RL,1Story,59,1,1,3257,2.0,1,0,271000
4,1529,Edwards,1945,1950,3,0,1,240,Detchd,Unf,1945.0,9,TA,TA,NoBasement,NoBasement,0,Npfireplace,8405,50.0,50,RL,1.5Fin,0,1,0,1529,2.0,0,1,98000
5,1040,Sawyer,1962,2010,8,659,1,260,Detchd,Unf,1962.0,6,TA,TA,TA,No,0,Npfireplace,6897,70.0,20,RL,1Story,104,1,1,2080,1.5,0,0,127000
5,1268,NAmes,1954,1954,6,540,1,244,Attchd,Fin,1954.0,7,TA,TA,TA,No,1,Gd,7800,78.0,20,RL,1Story,98,1,1,2536,1.0,0,0,132000
7,1372,Somerst,2007,2008,5,0,2,529,Attchd,Fin,2008.0,6,Gd,Gd,Ex,No,0,Npfireplace,8640,72.0,20,FV,1Story,140,1,1,2744,2.0,0,0,250580
5,936,NAmes,1956,2000,7,248,1,308,Attchd,Fin,1956.0,4,TA,TA,TA,No,0,Npfireplace,5868,74.0,20,RL,1Story,0,1,1,1872,1.0,0,0,129000
6,1136,NAmes,1965,1965,6,892,1,384,Attchd,RFn,1965.0,5,TA,TA,TA,No,1,Gd,9200,80.0,20,RL,1Story,0,1,1,2272,1.0,0,0,140000
6,972,NAmes,1948,2002,6,680,1,240,Detchd,Unf,1948.0,5,TA,TA,TA,No,1,Gd,8000,50.0,20,RL,1Story,0,1,1,1944,1.0,0,0,132000
6,1595,SWISU,1940,2000,5,388,1,240,Attchd,Unf,1940.0,6,TA,TA,TA,No,2,Gd,8400,60.0,50,RL,1.5Fin,0,1,1,2535,1.0,0,0,140000
4,960,Edwards,1956,1956,3,0,1,288,Basment,Unf,1956.0,5,TA,TA,TA,No,0,Npfireplace,8926,67.0,20,RL,1Story,0,1,1,1632,1.0,0,1,112000
4,1336,IDOTRR,1920,1950,6,637,1,570,CarPort,Unf,1994.0,7,TA,TA,TA,No,0,Npfireplace,11040,60.0,50,C (all),1.5Fin,47,1,1,1973,1.5,0,1,108000
7,1479,CollgCr,2003,2003,5,1013,2,558,Attchd,RFn,2003.0,7,Gd,Gd,Gd,Av,0,Npfireplace,10665,72.0,20,RL,1Story,29,1,1,2932,2.0,0,0,226000
5,1838,Gilbert,2005,2005,5,0,2,372,BuiltIn,Fin,2005.0,7,TA,Gd,Gd,Av,1,Gd,21930,60.0,60,RL,2Story,40,1,1,2570,2.5,0,0,192140
5,866,OldTown,1945,1997,9,329,0,0,NoGarage,NoGarage,0.0,4,Gd,TA,TA,No,0,Npfireplace,3880,40.0,30,RM,1Story,42,0,1,1552,1.0,0,0,110500
7,1456,CollgCr,2006,2006,5,0,2,440,Attchd,Fin,2006.0,8,Gd,Gd,Gd,No,1,TA,11103,85.0,60,RL,2Story,0,1,1,2184,2.5,0,0,155835
8,1296,Timber,2001,2002,5,1005,2,471,Attchd,Fin,2001.0,6,Gd,Gd,Ex,No,0,Npfireplace,6853,72.0,20,RL,1Story,25,1,1,2563,2.0,1,0,220000
6,1750,Mitchel,1940,1985,7,660,1,423,Attchd,Unf,1989.0,7,TA,TA,Gd,Mn,0,Npfireplace,12508,75.0,50,RL,1.5Fin,0,1,1,2733,2.0,0,0,160000
7,1502,NridgHt,2009,2009,5,0,2,644,Attchd,RFn,2009.0,7,Gd,Gd,Gd,No,0,Npfireplace,9541,79.0,20,RL,1Story,114,1,1,3004,2.0,0,0,233170
6,1790,NWAmes,1972,1972,5,247,2,484,Attchd,RFn,1972.0,8,TA,TA,TA,No,1,TA,10400,80.0,60,RL,2Story,0,1,1,2522,2.0,0,0,165150
5,784,BrkSide,1924,1950,6,784,0,0,NoGarage,NoGarage,0.0,5,Gd,TA,TA,No,0,Npfireplace,6130,50.0,45,RM,1.5Unf,0,0,1,1568,1.0,0,0,109500
6,1668,NAmes,1950,2005,8,120,1,271,Attchd,Unf,1950.0,6,TA,TA,TA,No,0,Npfireplace,9600,80.0,50,RL,1.5Fin,0,1,1,2524,1.5,0,0,140000
8,2078,Somerst,2007,2008,5,789,3,836,Attchd,Fin,2008.0,8,Ex,Gd,Ex,No,1,Gd,10800,85.0,60,FV,2Story,102,1,1,3112,2.5,1,0,339750
5,1039,Sawyer,1965,1965,4,841,2,504,Attchd,Unf,1965.0,6,TA,TA,TA,Mn,0,Npfireplace,11625,75.0,190,RL,1Story,0,1,1,2078,1.5,0,0,131500
7,1664,NWAmes,1976,1976,5,194,2,528,Attchd,RFn,1976.0,8,TA,TA,Gd,No,1,TA,10140,78.0,60,RL,2Story,28,1,1,2496,2.5,0,0,162900
7,1378,OldTown,1928,2005,9,141,2,360,Detchd,Unf,1928.0,7,Gd,TA,TA,No,1,Gd,9600,60.0,70,RM,2Story,0,1,1,2067,2.0,0,0,161000
7,1548,BrkSide,1925,2007,7,0,2,672,Detchd,Unf,1978.0,5,Ex,Gd,TA,No,0,Npfireplace,7264,55.0,50,RL,1.5Fin,0,1,1,2500,2.5,0,0,205000
7,1111,OldTown,1926,1950,7,0,1,288,Detchd,Unf,1982.0,5,TA,TA,TA,No,1,Gd,5700,60.0,50,RM,1.5Fin,0,1,1,1683,1.0,0,0,116900
6,1509,Timber,1988,1989,5,783,2,600,Attchd,RFn,1988.0,5,Gd,Gd,Gd,Av,1,Fa,10200,85.0,80,RL,SLvl,0,1,1,2970,2.0,0,0,175000
5,1960,OldTown,1952,1952,5,0,2,400,Detchd,Unf,1952.0,10,TA,TA,TA,No,0,Npfireplace,7596,60.0,90,RM,2Story,0,1,1,2920,2.0,0,0,124500
6,1199,SawyerW,1993,1993,5,300,2,530,Attchd,RFn,1993.0,5,Gd,Gd,Gd,No,0,Npfireplace,7892,55.0,120,RL,1Story,63,1,1,2398,2.0,0,0,153900
7,1266,Blmngtn,2007,2007,5,0,2,388,Attchd,Fin,2007.0,6,Gd,Gd,Gd,Av,1,Gd,3182,43.0,20,RL,1Story,16,1,1,2532,2.0,0,0,159895
5,1792,NAmes,1974,1974,5,0,0,0,NoGarage,NoGarage,0.0,8,TA,TA,Gd,No,0,Npfireplace,9000,60.0,90,RL,2Story,45,0,1,2688,3.0,0,0,136000
7,2418,NoRidge,1993,1994,5,1173,3,983,Attchd,RFn,1993.0,9,Gd,Gd,Gd,Gd,1,TA,10542,96.0,60,RL,2Story,154,1,1,3729,2.5,0,0,341000
7,1626,NridgHt,2003,2004,5,573,2,474,BuiltIn,RFn,2003.0,6,Gd,Gd,Gd,No,0,Npfireplace,2448,36.0,160,RL,2Story,27,1,1,2390,2.5,0,0,154000
4,907,NAmes,1957,1957,6,288,1,352,Detchd,Unf,1964.0,5,TA,TA,TA,No,0,Npfireplace,8593,77.0,20,RL,1Story,0,1,1,1814,1.0,0,1,109008
6,1125,Edwards,1976,1976,6,631,1,352,Detchd,Unf,1977.0,6,TA,TA,TA,Av,1,Fa,7200,72.0,80,RL,SLvl,0,1,1,2166,1.0,0,0,125000
7,1710,CollgCr,2003,2003,5,706,2,548,Attchd,RFn,2003.0,8,Gd,Gd,Gd,No,0,Npfireplace,8450,65.0,60,RL,2Story,61,1,1,2566,2.5,0,0,208500
5,833,OldTown,1954,2000,7,415,1,326,Detchd,Unf,1955.0,4,Gd,TA,TA,No,0,Npfireplace,5400,90.0,20,RL,1Story,0,1,1,1666,1.0,0,0,117000
5,1505,BrkSide,1940,1982,5,399,1,240,Detchd,Unf,1940.0,8,TA,TA,TA,No,0,Npfireplace,9144,51.0,50,RL,1.5Fin,0,1,1,2388,1.0,0,0,145000
8,1959,Somerst,2006,2006,5,0,3,1025,Attchd,RFn,2006.0,8,Gd,Gd,Gd,Av,1,Gd,9000,75.0,60,FV,2Story,46,1,1,3047,2.5,1,0,270000
9,2121,NridgHt,2006,2007,5,0,3,732,Attchd,Fin,2007.0,8,Ex,Ex,Ex,Gd,1,Ex,14450,107.0,20,RL,1Story,98,1,1,4242,2.5,1,0,415298
7,1200,Somerst,2005,2005,5,0,2,480,Detchd,RFn,2005.0,4,Gd,TA,Gd,No,0,Npfireplace,3180,30.0,160,FV,2Story,166,1,1,1720,2.5,0,0,151000
4,520,BrkSide,1927,1950,6,0,1,240,Detchd,Unf,1920.0,4,Fa,TA,TA,No,0,Npfireplace,6324,60.0,30,RM,1Story,0,1,1,1040,1.0,0,1,68500
3,864,Edwards,1914,1950,3,203,1,200,Detchd,Unf,1938.0,5,TA,TA,TA,No,0,Npfireplace,8212,45.0,30,RL,1Story,0,1,1,1728,1.0,0,1,58500
6,1493,CollgCr,1997,1998,5,994,2,508,Attchd,Fin,1997.0,7,Gd,TA,Gd,Gd,1,TA,13125,75.0,20,RL,1Story,39,1,1,2971,2.0,0,0,208900
6,923,SawyerW,1980,1980,5,543,1,264,Attchd,RFn,1980.0,5,TA,TA,Gd,No,1,TA,8012,50.0,120,RL,1Story,0,1,1,1846,2.0,0,0,143000
7,1646,Crawfor,1941,1950,5,364,1,240,Detchd,Unf,1941.0,7,TA,TA,TA,No,2,Gd,7128,53.0,75,RL,2.5Unf,0,1,1,2564,2.0,0,0,164000
7,1553,Somerst,2005,2006,5,0,2,615,Attchd,RFn,2005.0,6,Gd,Gd,Gd,No,0,Npfireplace,8125,65.0,60,FV,2Story,45,1,1,2309,2.5,0,0,186500
8,1616,StoneBr,1995,1996,5,1180,2,608,Attchd,RFn,1995.0,5,Gd,Gd,Gd,No,1,TA,5389,39.0,120,RL,1Story,152,1,1,3211,2.0,1,0,236500
7,1720,CollgCr,2004,2004,5,0,2,565,Attchd,RFn,2004.0,7,Gd,Gd,Gd,No,0,Npfireplace,11645,89.0,60,RL,2Story,70,1,1,2580,2.5,0,0,196500
6,1350,NWAmes,1974,1974,5,0,2,478,Attchd,RFn,1974.0,7,TA,TA,Gd,No,1,TA,10140,78.0,20,RL,1Story,0,1,1,2414,2.0,0,0,165000
8,1567,Blmngtn,2006,2006,5,1154,3,648,Attchd,Fin,2006.0,7,Ex,Gd,Gd,Av,1,Gd,3982,53.0,120,RL,1Story,0,1,1,3087,2.0,1,0,264561
8,2270,NoRidge,1999,2007,7,524,3,671,Attchd,Fin,1999.0,9,Gd,Gd,Gd,No,1,Gd,11764,92.0,60,RL,2Story,57,1,1,3422,2.5,1,0,290000
5,935,Sawyer,1965,1965,6,560,1,288,Attchd,Unf,1965.0,5,TA,TA,TA,No,0,Npfireplace,13526,70.0,20,RL,1Story,0,1,1,1870,1.0,0,0,137000
8,1776,Timber,2006,2007,5,80,3,712,Attchd,Fin,2006.0,7,Gd,Gd,Ex,Gd,1,Gd,15306,93.0,20,RL,1Story,0,1,1,3508,2.0,1,0,283463
6,1933,Somerst,2007,2007,5,0,3,668,BuiltIn,Fin,2007.0,9,Gd,Gd,Gd,Mn,1,Gd,14598,86.0,60,RL,2Story,18,1,1,2827,2.5,0,0,214000
6,1375,IDOTRR,1937,1950,6,0,1,544,Detchd,Unf,1979.0,6,Gd,TA,TA,No,1,Gd,9000,50.0,50,RM,1.5Fin,162,1,1,2155,1.5,0,0,141000
7,1670,Gilbert,2006,2006,5,0,3,690,Attchd,RFn,2006.0,7,Gd,Gd,Gd,No,1,Gd,14859,50.0,20,RL,1Story,60,1,1,3340,2.0,0,0,240000
4,952,NAmes,1956,1956,7,228,1,283,Detchd,Unf,1956.0,4,TA,TA,TA,No,0,Npfireplace,8475,73.0,20,RL,1Story,0,1,1,1904,1.0,0,1,135750
7,1767,StoneBr,1987,1987,7,495,2,504,Attchd,RFn,1987.0,5,Gd,Gd,Gd,No,1,TA,5306,44.0,160,RL,2Story,35,1,1,2831,2.0,0,0,239000
7,1533,ClearCr,1975,1975,5,655,2,576,Attchd,Unf,1975.0,5,Gd,TA,Gd,Gd,2,TA,70761,62.0,20,RL,1Story,54,1,1,3066,2.0,0,0,280000
5,943,NAmes,1979,1979,5,943,2,600,Detchd,Unf,1979.0,4,TA,TA,Gd,Gd,2,TA,7032,73.0,90,RL,SFoyer,0,1,1,1886,1.0,0,0,135960
6,987,BrDale,1971,1971,5,387,1,264,Detchd,Unf,1971.0,4,TA,TA,TA,No,0,Npfireplace,1680,21.0,160,RM,2Story,0,1,1,1470,1.5,0,0,85400
6,754,IDOTRR,1935,1982,8,490,0,0,NoGarage,NoGarage,0.0,5,TA,TA,TA,Av,0,Npfireplace,6780,60.0,190,RM,1.5Fin,0,0,1,1040,1.0,0,0,84500
8,1414,Gilbert,2004,2004,5,0,2,403,Attchd,Fin,2004.0,6,Gd,Gd,Ex,Av,1,Gd,9056,74.0,60,RL,2Story,35,1,1,2121,2.5,1,0,178000
7,1978,NWAmes,1968,1968,5,552,2,486,Attchd,RFn,1968.0,9,TA,TA,TA,No,1,Gd,9900,80.0,60,RL,2Story,43,1,1,2810,2.5,0,0,176000
6,1368,OldTown,1910,1993,7,0,1,216,Detchd,Unf,1930.0,7,TA,TA,TA,No,0,Npfireplace,3600,60.0,70,RM,2Story,158,1,1,2052,1.0,0,0,114504
5,827,NAmes,1955,2007,7,0,1,392,Detchd,Unf,1967.0,5,TA,TA,NoBasement,NoBasement,1,Po,7200,60.0,20,RL,1Story,0,1,0,827,1.0,0,0,107500
7,1411,NWAmes,1977,1977,5,822,2,544,Attchd,Fin,1977.0,6,TA,TA,TA,No,1,TA,11900,85.0,20,RL,1Story,0,1,1,2797,2.0,0,0,82500
7,1426,Crawfor,1918,1998,8,0,1,216,Detchd,Unf,1925.0,7,Gd,Gd,TA,No,1,Gd,7642,55.0,50,RL,1.5Fin,240,1,1,2338,1.5,0,0,189950
