OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,SalePrice
8,1704,NridgHt,2007,2008,5,1704,1218,1704,0,3,772,Attchd,RFn,2008.0,2,0,7,Gd,Gd,Ex,No,1,Gd,11478,98.0,20,RL,1Story,50,306000
5,1600,NAmes,1957,1997,6,1484,1277,1600,0,1,319,Attchd,RFn,1957.0,1,0,6,TA,TA,TA,Gd,2,Gd,16321,47.0,20,RL,1Story,258,207500
4,520,BrkSide,1927,1950,6,520,0,520,0,1,240,Detchd,Unf,1920.0,1,0,4,Fa,TA,TA,No,0,Npfireplace,6324,60.0,30,RM,1Story,0,68500
4,1317,IDOTRR,1920,1950,4,649,0,649,668,1,250,Detchd,Unf,1920.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8500,50.0,70,C (all),2Story,54,40000
5,1228,Sawyer,1966,2006,6,1228,0,1228,0,1,271,Attchd,Unf,1966.0,1,1,6,Gd,TA,TA,No,0,Npfireplace,8544,70.0,20,RL,1Story,65,149350
8,1234,CollgCr,2007,2007,5,1234,0,1234,0,2,484,Attchd,RFn,2007.0,2,0,7,Gd,Gd,Ex,Av,0,Npfireplace,11049,85.0,20,RL,1Story,30,179900
5,1700,NAmes,1959,1959,5,1398,1018,1700,0,2,447,Attchd,RFn,1959.0,1,1,6,Gd,TA,TA,No,1,Gd,10552,70.0,20,RL,1Story,38,165500
9,1561,NridgHt,2005,2005,5,1561,1153,1561,0,2,556,Attchd,Fin,2005.0,2,0,6,Ex,Ex,Ex,No,1,Gd,7313,60.0,120,RL,1Story,47,277500
8,2452,NridgHt,2004,2005,5,1117,0,1132,1320,3,691,BuiltIn,Fin,2004.0,3,1,9,Gd,Gd,Ex,Av,1,Gd,13418,108.0,60,RL,2Story,32,309000
5,1097,CollgCr,1994,1995,5,1097,0,1097,0,2,672,Attchd,Unf,1995.0,1,1,6,TA,TA,Gd,No,0,Npfireplace,10859,112.0,20,RL,1Story,64,145000
5,1297,NAmes,1954,1990,6,1297,1213,1297,0,2,498,Attchd,Fin,1954.0,1,0,5,TA,TA,TA,No,1,TA,8532,74.0,20,RL,1Story,0,153000
5,1057,NAmes,1953,2007,7,1057,731,1057,0,1,246,Detchd,Unf,1953.0,1,0,5,Gd,TA,TA,No,0,Npfireplace,7922,68.0,20,RL,1Story,52,109000
4,1152,Edwards,1955,1955,5,0,0,1152,0,0,0,NoGarage,NoGarage,0.0,2,0,6,Fa,TA,NoBasement,NoBasement,0,Npfireplace,6040,65.0,90,RL,1Story,0,82000
6,1324,NAmes,1965,1965,5,1088,643,1324,0,2,440,Attchd,RFn,1965.0,2,0,6,TA,TA,TA,No,1,TA,8658,84.0,20,RL,1Story,138,160000
5,1328,Timber,1959,1959,6,1350,967,1328,0,1,308,Attchd,RFn,1959.0,1,1,5,TA,TA,TA,Gd,2,Gd,16905,115.0,20,RL,1Story,104,170000
5,884,SawyerW,1983,1983,7,840,747,884,0,2,504,Attchd,RFn,1983.0,1,0,5,Gd,TA,Gd,Av,0,Npfireplace,9180,68.0,85,RL,SFoyer,0,144000
5,938,CollgCr,1975,1980,6,938,280,938,0,1,308,Detchd,Unf,1977.0,1,0,5,TA,TA,Gd,Av,0,Npfireplace,9200,69.0,20,RL,1Story,0,130250
5,1150,NAmes,1959,1959,6,1150,179,1150,0,1,300,Attchd,RFn,1959.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7945,70.0,20,RL,1Story,0,141000
9,1752,NridgHt,2005,2005,5,1752,456,1752,0,2,576,Attchd,RFn,2005.0,2,0,6,Ex,Ex,Ex,No,1,Gd,7658,61.0,120,RL,1Story,82,319900
7,2149,Mitchel,2003,2003,5,1434,1351,1518,631,2,670,Attchd,RFn,2003.0,1,1,6,Gd,Gd,Ex,No,1,Ex,12822,48.0,50,RL,1.5Fin,43,239686
8,1656,Somerst,2006,2006,5,1656,24,1656,0,3,826,Attchd,RFn,2006.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,11096,84.0,20,FV,1Story,146,249700
4,1452,OldTown,1920,2008,5,736,0,736,716,0,0,NoGarage,NoGarage,0.0,2,0,8,TA,TA,TA,No,0,Npfireplace,4456,33.0,190,RM,2Story,0,113000
5,955,Sawyer,1966,1966,7,955,763,955,0,1,386,Attchd,Unf,1966.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7742,66.0,20,RL,1Story,0,127000
6,1470,Gilbert,1997,1997,6,794,182,794,676,2,388,Attchd,Fin,1997.0,2,0,6,TA,TA,Gd,Av,0,Npfireplace,13869,65.0,60,RL,2Story,75,177000
6,1176,BrkSide,1934,1950,6,816,0,816,0,2,528,Detchd,Unf,1985.0,1,0,6,TA,TA,TA,No,1,Gd,6240,52.0,50,RM,1.5Fin,0,114500
5,816,IDOTRR,1963,1963,5,816,104,816,0,2,516,CarPort,Unf,1963.0,1,0,5,TA,Fa,Gd,Gd,0,Npfireplace,8472,110.0,90,RM,1Story,0,110000
9,1842,Veenker,1981,1987,5,1842,1810,1842,0,3,894,Attchd,Fin,1981.0,0,1,5,Gd,Gd,Ex,Gd,1,Gd,50271,68.0,20,RL,1Story,72,385000
5,1360,NAmes,1955,1955,5,384,384,1360,0,2,572,Detchd,Unf,1962.0,1,0,6,TA,TA,TA,No,1,TA,7134,60.0,80,RL,SLvl,50,130000
6,1425,NAmes,1964,1964,5,1425,490,1425,0,2,576,Attchd,RFn,1964.0,2,0,7,TA,TA,TA,No,1,Gd,10175,100.0,20,RL,1Story,0,180500
8,1739,Somerst,1999,2000,5,970,649,983,756,2,480,Attchd,Fin,1999.0,2,1,7,Gd,Gd,Gd,No,0,Npfireplace,2645,24.0,160,FV,2Story,0,172500
7,1720,CollgCr,2004,2004,5,860,0,860,860,2,565,Attchd,RFn,2004.0,2,1,7,Gd,Gd,Gd,No,0,Npfireplace,11645,89.0,60,RL,2Story,70,196500
10,2945,StoneBr,2006,2006,5,1410,0,1426,1519,3,641,BuiltIn,Fin,2006.0,3,1,10,Gd,Ex,Ex,Gd,1,Gd,13682,66.0,60,RL,2Story,0,438780
5,780,CollgCr,1972,1972,7,780,632,780,0,1,352,Detchd,Unf,1973.0,1,0,4,TA,TA,TA,Av,0,Npfireplace,7200,60.0,20,RL,1Story,0,124900
6,1158,SawyerW,2004,2004,5,1158,941,1158,0,2,576,Detchd,Unf,2006.0,1,1,5,Gd,TA,Gd,No,0,Npfireplace,13072,63.0,20,RL,1Story,50,158000
5,1111,IDOTRR,1920,1996,7,530,0,581,530,1,288,Detchd,Unf,1935.0,1,0,6,Fa,TA,TA,No,0,Npfireplace,7200,60.0,75,RM,2.5Unf,0,101000
8,1370,NridgHt,2006,2006,5,1370,24,1370,0,2,484,Attchd,RFn,2006.0,2,0,6,Gd,Gd,Gd,Mn,1,Gd,6442,44.0,120,RL,1Story,49,202500
7,1710,OldTown,1921,1950,6,576,0,902,808,2,480,Detchd,Unf,1990.0,2,0,9,TA,TA,TA,No,0,Npfireplace,10300,50.0,70,RM,2Story,11,140000
7,2034,CollgCr,1997,1998,5,1057,739,1057,977,2,645,Attchd,RFn,1998.0,2,1,8,Gd,TA,Gd,No,0,Npfireplace,9375,69.0,60,RL,2Story,36,219500
8,2473,NridgHt,2004,2005,5,1143,0,1143,1330,3,852,BuiltIn,RFn,2004.0,2,1,9,Gd,Gd,Ex,Av,1,Gd,9591,76.0,60,RL,2Story,151,317000
7,2207,NAmes,1970,1989,5,1947,912,2207,0,2,576,Attchd,RFn,1970.0,2,0,7,TA,TA,Gd,Gd,1,Gd,19900,73.0,20,RL,1Story,0,180000
7,1479,CollgCr,2003,2003,5,1453,1013,1479,0,2,558,Attchd,RFn,2003.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,10665,72.0,20,RL,1Story,29,226000
4,747,OldTown,1945,1950,6,747,0,747,0,1,220,Attchd,Unf,1945.0,1,0,4,TA,TA,TA,No,0,Npfireplace,4608,47.0,30,RM,1Story,0,80000
7,2287,ClearCr,1953,1953,4,1304,603,1304,983,2,667,Attchd,Fin,1953.0,2,0,7,TA,Gd,TA,No,1,TA,15593,81.0,50,RL,1.5Fin,21,225000
7,2223,NAmes,1973,1973,6,2223,1880,2223,0,2,516,Attchd,Fin,1973.0,2,0,8,TA,TA,Gd,Gd,2,Gd,13651,95.0,20,RL,1Story,0,244000
4,845,Mitchel,1982,2006,6,845,565,845,0,2,360,Detchd,Unf,1987.0,1,0,4,TA,TA,TA,No,0,Npfireplace,7599,69.0,20,RL,1Story,0,129500
7,1718,Gilbert,1998,1998,5,832,0,885,833,2,427,Attchd,Fin,1998.0,2,1,7,TA,TA,Gd,No,1,TA,10141,74.0,60,RL,2Story,94,185000
5,1086,NAmes,1954,2003,7,1086,320,1086,0,2,490,Attchd,Unf,1989.0,1,0,6,TA,TA,TA,No,0,Npfireplace,10200,85.0,20,RL,1Story,0,144900
3,1605,OldTown,1915,1950,6,840,0,840,765,1,379,Detchd,Unf,1915.0,2,0,8,TA,Gd,Fa,No,0,Npfireplace,5790,60.0,50,RM,2Story,0,107400
4,988,MeadowV,1973,1973,5,462,462,526,462,1,297,BuiltIn,Unf,1973.0,1,0,5,TA,TA,Gd,Gd,0,Npfireplace,1596,21.0,180,RM,SLvl,101,91000
4,952,NAmes,1956,1956,7,952,228,952,0,1,283,Detchd,Unf,1956.0,1,0,4,TA,TA,TA,No,0,Npfireplace,8475,73.0,20,RL,1Story,0,135750
5,1285,BrkSide,1948,2001,5,672,336,1072,213,1,240,Detchd,Unf,1948.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8635,50.0,50,RM,1.5Fin,0,127000
4,1768,Sawyer,1968,1968,5,1768,0,1768,0,0,0,NoGarage,NoGarage,0.0,2,0,8,TA,TA,TA,No,0,Npfireplace,10778,72.0,90,RL,1Story,0,136500
5,1230,OldTown,1910,1981,6,440,0,682,548,2,440,Detchd,Unf,1966.0,1,1,5,TA,TA,TA,No,0,Npfireplace,10440,60.0,50,RM,2Story,0,110000
6,2142,NAmes,1968,1968,6,896,448,1182,960,1,509,Attchd,Fin,1968.0,2,1,8,Gd,TA,Gd,No,1,Gd,13000,100.0,60,RL,2Story,72,193500
6,1337,Mitchel,1998,1998,5,1237,1201,1337,0,2,405,Attchd,Fin,1998.0,2,0,5,TA,TA,Ex,No,0,Npfireplace,4500,32.0,120,RM,1Story,199,153500
8,1563,Somerst,2007,2007,5,1563,33,1563,0,3,758,Attchd,RFn,2007.0,2,0,6,Gd,TA,Gd,No,1,Gd,10206,78.0,20,RL,1Story,99,245000
5,1065,NAmes,1960,1960,5,1065,0,1065,0,2,461,Detchd,Unf,1974.0,1,1,6,TA,TA,TA,No,0,Npfireplace,8892,80.0,20,RL,1Story,0,126500
7,1474,Gilbert,1995,1996,5,384,0,804,670,2,400,BuiltIn,Fin,1995.0,2,1,7,TA,TA,Gd,No,1,TA,8530,65.0,80,RL,SLvl,72,168500
8,2417,NoRidge,1991,1992,5,1288,0,1301,1116,2,462,Attchd,Unf,1991.0,2,1,9,Gd,Gd,Gd,No,1,TA,16059,121.0,60,RL,2Story,82,260000
6,1560,Gilbert,2005,2005,5,684,0,684,876,2,400,BuiltIn,Fin,2005.0,2,1,6,Gd,Gd,Gd,Av,1,Gd,11911,122.0,60,RL,2Story,38,174000
6,1224,Somerst,2009,2009,5,612,0,612,612,2,528,Detchd,RFn,2009.0,2,1,4,Gd,Gd,Gd,Av,0,Npfireplace,3951,40.0,160,FV,2Story,234,164500
3,1526,IDOTRR,1915,1982,2,1013,0,1013,0,0,0,NoGarage,NoGarage,0.0,1,0,6,Fa,Fa,TA,No,0,Npfireplace,8470,105.0,50,C (all),1.5Fin,0,85000
4,990,CollgCr,1994,1995,5,990,588,990,0,0,0,NoGarage,NoGarage,0.0,1,0,5,TA,TA,Gd,No,0,Npfireplace,8070,60.0,20,RL,1Story,0,123600
4,1040,NAmes,1950,1950,5,0,0,1040,0,2,420,Detchd,Unf,1950.0,1,0,4,TA,TA,NoBasement,NoBasement,0,Npfireplace,7200,60.0,20,RL,1Story,29,109900
5,1235,NAmes,1961,1961,3,1235,600,1235,0,2,480,Attchd,Unf,1961.0,1,0,6,TA,TA,TA,No,0,Npfireplace,8500,85.0,20,RL,1Story,0,98600
5,964,Crawfor,1921,2006,7,876,713,964,0,2,432,Detchd,Unf,1921.0,1,0,5,TA,TA,Gd,No,0,Npfireplace,13360,80.0,30,RL,1Story,0,163500
6,2291,OldTown,1910,1998,6,1214,1046,1260,1031,2,506,Detchd,Unf,1900.0,2,0,9,TA,TA,TA,Mn,1,Gd,7200,60.0,190,C (all),2.5Unf,0,133900
6,1786,CollgCr,1997,1997,5,824,648,905,881,2,684,Attchd,RFn,1997.0,2,1,7,Gd,TA,Gd,No,0,Npfireplace,9337,69.0,60,RL,2Story,162,204750
6,1470,Gilbert,1993,1993,8,680,310,680,790,2,420,BuiltIn,Fin,1993.0,2,1,6,TA,Ex,Gd,No,1,TA,9765,65.0,60,RL,2Story,63,185000
7,1588,CollgCr,1999,1999,5,1588,1162,1588,0,2,472,Attchd,RFn,1999.0,2,0,6,Gd,Gd,Gd,Av,0,Npfireplace,10264,78.0,20,RL,1Story,29,214000
4,960,Edwards,1965,1965,5,960,520,960,0,1,432,Attchd,Fin,1965.0,1,0,6,TA,TA,TA,No,0,Npfireplace,10921,73.0,20,RL,1Story,0,94750
5,835,Edwards,1920,1950,5,458,108,835,0,1,366,Basment,Unf,1920.0,1,0,5,TA,TA,TA,No,0,Npfireplace,10625,85.0,30,RL,1Story,0,83000
4,1225,NAmes,1959,1959,5,950,569,1225,0,0,0,NoGarage,NoGarage,0.0,1,1,6,TA,TA,TA,No,0,Npfireplace,9320,77.0,20,RL,1Story,0,128950
6,1610,NWAmes,1977,2001,7,1610,1200,1610,0,2,480,Attchd,RFn,1977.0,2,0,6,Gd,TA,TA,Mn,2,TA,10603,80.0,20,RL,1Story,68,205000
6,1732,SawyerW,1985,1985,5,741,0,977,755,2,476,Attchd,Fin,1985.0,2,1,7,Gd,Gd,Gd,No,1,TA,9206,77.0,60,RL,2Story,46,178000
5,1535,SawyerW,1979,1979,5,0,0,1535,0,2,410,Attchd,Unf,1979.0,2,0,8,TA,TA,NoBasement,NoBasement,0,Npfireplace,7018,64.0,90,RL,1Story,0,118964
7,1226,CollgCr,2009,2009,5,1226,0,1226,0,3,740,Attchd,RFn,2009.0,2,0,6,Gd,TA,Gd,No,0,Npfireplace,10402,94.0,20,RL,1Story,36,198900
7,1818,IDOTRR,1931,1950,4,1040,224,1226,592,1,240,Detchd,Unf,1951.0,1,1,7,TA,TA,TA,No,2,TA,7758,60.0,50,RM,1.5Fin,0,169500
8,1992,Somerst,2003,2004,5,1053,0,1053,939,2,648,Attchd,RFn,2003.0,2,1,9,Gd,Gd,Ex,No,1,Gd,9375,75.0,60,FV,2Story,45,250000
4,1047,OldTown,1885,1995,7,641,0,1047,0,1,273,Detchd,Unf,1954.0,1,0,6,TA,TA,Fa,No,0,Npfireplace,10800,60.0,30,RM,1Story,0,100000
5,789,OldTown,1948,1950,5,789,104,789,0,1,250,Detchd,Unf,1948.0,1,0,5,TA,TA,TA,No,0,Npfireplace,6000,50.0,20,RM,1Story,0,115000
5,1517,IDOTRR,1919,2005,7,793,0,997,520,0,0,NoGarage,NoGarage,0.0,2,0,7,Fa,TA,TA,No,0,Npfireplace,8500,85.0,50,RM,1.5Fin,0,115000
6,1844,NWAmes,1977,1977,6,1844,705,1844,0,2,546,Attchd,RFn,1977.0,2,0,7,TA,TA,Gd,No,1,TA,11751,105.0,20,RL,1Story,122,190000
6,1855,Edwards,1954,1972,4,994,444,1216,639,1,325,Attchd,Unf,1954.0,2,0,7,TA,TA,TA,No,0,Npfireplace,9525,75.0,50,RL,1.5Fin,0,136900
7,1430,Gilbert,2000,2000,5,384,250,774,656,2,400,BuiltIn,Fin,2000.0,2,1,7,TA,TA,Gd,No,1,TA,7750,65.0,80,RL,SLvl,0,180000
7,2696,CollgCr,2007,2007,5,1264,984,1282,1414,3,792,BuiltIn,Fin,2007.0,2,1,10,Ex,Gd,Ex,Av,1,Gd,9965,77.0,60,RL,2Story,184,383970
6,2259,Crawfor,1953,1953,5,1809,35,2259,0,2,450,Basment,Unf,1953.0,2,0,7,Gd,TA,Gd,Mn,2,Gd,21000,66.0,20,RL,1Story,120,217000
6,2320,Crawfor,1945,2002,8,1028,774,1436,884,1,180,Detchd,Unf,1945.0,2,1,9,Gd,TA,TA,No,1,TA,7259,61.0,70,RL,2Story,0,259500
6,1458,Somerst,1999,1999,5,729,419,729,729,2,440,Detchd,Unf,1999.0,2,1,5,TA,TA,Gd,No,1,Fa,3230,34.0,160,FV,2Story,32,176000
5,1092,Sawyer,1962,1962,5,1092,170,1092,0,1,288,Attchd,Unf,1962.0,1,0,6,TA,TA,TA,No,1,Po,11616,70.0,20,RL,1Story,20,139000
5,1125,Edwards,2006,2007,5,1125,0,1125,0,2,430,Attchd,Unf,2007.0,1,1,5,TA,TA,Gd,No,0,Npfireplace,8536,74.0,20,RL,1Story,64,155000
7,3222,SawyerW,1990,1990,5,1673,1470,1699,1523,3,594,Attchd,Unf,1990.0,3,0,11,Gd,TA,Gd,Mn,2,TA,12376,90.0,60,RL,2Story,0,320000
6,1456,CollgCr,2005,2006,5,728,0,728,728,2,390,Attchd,Fin,2005.0,2,1,8,Gd,Gd,Gd,No,1,Gd,8461,65.0,60,RL,2Story,24,163990
6,988,ClearCr,1969,1969,5,938,938,988,0,2,540,Attchd,Unf,1969.0,1,0,4,TA,TA,TA,Gd,2,TA,21453,80.0,80,RL,SLvl,130,180000
4,1123,IDOTRR,1939,1950,5,732,0,772,351,1,264,Detchd,Unf,1979.0,1,0,4,TA,TA,TA,No,0,Npfireplace,6060,50.0,50,RM,1.5Fin,0,100000
6,1080,NAmes,1958,1958,7,1080,570,1080,0,1,288,Attchd,Unf,1958.0,1,0,5,TA,TA,TA,No,0,Npfireplace,9464,75.0,20,RL,1Story,0,136000
6,1199,SawyerW,1993,1993,5,1199,300,1199,0,2,530,Attchd,RFn,1993.0,2,0,5,Gd,Gd,Gd,No,0,Npfireplace,7892,55.0,120,RL,1Story,63,153900
6,1586,NWAmes,1979,1998,5,1362,0,1586,0,2,435,Attchd,Unf,1979.0,2,0,7,TA,TA,Gd,No,1,TA,17043,48.0,20,RL,1Story,0,181000
6,754,IDOTRR,1935,1982,8,520,490,520,0,0,0,NoGarage,NoGarage,0.0,1,0,5,TA,TA,TA,Av,0,Npfireplace,6780,60.0,190,RM,1.5Fin,0,84500
6,958,NPkVill,1976,1976,5,1078,120,958,0,2,440,Attchd,RFn,1977.0,2,0,5,TA,TA,Gd,No,1,TA,4928,24.0,120,RL,1Story,205,128000
5,840,OldTown,1930,1950,7,672,116,840,0,0,0,NoGarage,NoGarage,0.0,1,0,5,TA,TA,TA,No,1,TA,4388,55.0,45,RM,1.5Unf,0,87000
6,1348,NAmes,1966,1966,5,660,512,660,688,2,453,Attchd,RFn,1966.0,1,1,6,TA,TA,TA,No,1,Fa,7590,69.0,60,RL,2Story,108,155000
5,1053,NAmes,1958,1991,7,1008,567,1053,0,2,750,2Types,RFn,1998.0,1,1,6,Ex,TA,TA,No,0,Npfireplace,8973,69.0,20,RL,1Story,80,150000
7,2157,NAmes,1966,1966,6,924,445,1216,941,2,487,Attchd,Fin,1966.0,2,1,8,Gd,TA,TA,No,2,Gd,14200,88.0,60,RL,2Story,66,226000
6,2054,Gilbert,2000,2000,5,992,695,1022,1032,2,390,BuiltIn,RFn,2000.0,2,1,7,Gd,Gd,Gd,No,1,TA,12224,65.0,60,RL,2Story,48,244000
5,1327,NAmes,1959,2002,6,1063,405,1327,0,2,624,Detchd,Unf,1974.0,1,0,7,Gd,TA,TA,No,0,Npfireplace,7388,75.0,20,RL,1Story,0,150750
8,1296,Timber,2001,2002,5,1267,1005,1296,0,2,471,Attchd,Fin,2001.0,2,0,6,Gd,Gd,Ex,No,0,Npfireplace,6853,72.0,20,RL,1Story,25,220000
5,1721,Sawyer,1968,1993,6,1461,570,1721,0,2,440,Attchd,RFn,1968.0,2,1,7,TA,TA,TA,No,1,TA,10335,78.0,20,RL,1Story,96,180000
7,1682,NWAmes,1970,1970,6,1304,0,1682,0,2,530,Attchd,Unf,1970.0,2,0,7,TA,TA,TA,No,1,Gd,10400,80.0,20,RL,1Story,0,174000
5,1214,NAmes,1967,1967,5,1214,695,1214,0,1,318,Attchd,RFn,1967.0,2,0,5,TA,TA,TA,No,1,Fa,10355,73.0,20,RL,1Story,111,143000
7,1959,Mitchel,1988,1989,5,1907,0,1959,0,3,766,2Types,Unf,1989.0,3,0,9,TA,TA,TA,No,0,Npfireplace,11070,82.0,90,RL,1Story,0,171000
8,1852,CollgCr,1999,2000,5,1004,668,1004,848,3,660,Attchd,Fin,1999.0,2,1,7,Gd,Gd,Gd,Mn,2,TA,9066,73.0,60,RL,2Story,106,230000
6,1764,CollgCr,1997,1997,5,928,821,928,836,2,470,Attchd,RFn,1997.0,2,1,7,Gd,TA,Gd,No,0,Npfireplace,15426,65.0,60,RL,2Story,99,231500
4,864,NAmes,1971,1971,5,864,432,864,0,0,0,NoGarage,NoGarage,0.0,1,0,5,TA,TA,TA,No,1,Po,10500,70.0,20,RL,1Story,0,115000
7,1734,CollgCr,2005,2005,5,1734,1300,1734,0,2,660,Attchd,Fin,2005.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,11645,78.0,20,RL,1Story,24,260000
5,1385,NAmes,1952,1952,4,910,507,910,475,2,720,Detchd,Unf,2000.0,2,0,6,TA,TA,TA,No,0,Npfireplace,8520,71.0,50,RL,1.5Fin,0,166000
7,1501,CollgCr,1999,1999,5,1490,679,1501,0,2,577,Attchd,RFn,1999.0,2,0,6,Gd,Gd,Gd,Gd,0,Npfireplace,10335,78.0,20,RL,1Story,29,204000
