OverallQual,GrLivArea,Neighborhood,YearBuilt,YearRemodAdd,OverallCond,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GarageCars,GarageArea,GarageType,GarageFinish,GarageYrBlt,FullBath,HalfBath,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,BsmtExposure,Fireplaces,FireplaceQu,LotArea,LotFrontage,MSSubClass,MSZoning,HouseStyle,OpenPorchSF,SalePrice
5,1539,OldTown,1904,2002,8,650,0,958,581,2,686,Detchd,Unf,1983.0,2,0,8,Gd,TA,TA,No,1,Po,10440,60.0,70,RM,2Story,78,157500
7,1720,Gilbert,2004,2004,5,840,0,840,880,2,440,Attchd,Fin,2004.0,2,1,7,Gd,Gd,Gd,No,1,Gd,8244,62.0,60,RL,2Story,48,183500
7,1797,CollgCr,2006,2006,5,939,0,939,858,2,639,Attchd,RFn,2006.0,2,1,8,Gd,Gd,Gd,Av,0,Npfireplace,9245,79.0,60,RL,2Story,53,213500
7,1820,NAmes,1965,1988,6,864,454,902,918,2,492,Attchd,Unf,1965.0,1,2,8,Gd,TA,TA,Gd,2,Gd,13700,73.0,60,RL,2Story,84,201800
7,1314,NridgHt,2007,2008,5,1314,904,1314,0,2,626,Attchd,RFn,2008.0,2,0,6,Gd,Gd,Gd,No,1,Gd,5001,34.0,120,RL,1Story,62,230000
7,1668,CollgCr,2003,2003,5,840,0,840,828,2,500,Attchd,RFn,2003.0,2,1,8,Gd,Gd,Gd,No,0,Npfireplace,11317,72.0,60,RL,2Story,68,180000
10,1718,NridgHt,2006,2007,5,1700,1172,1718,0,3,786,Attchd,Fin,2008.0,2,0,7,Ex,Ex,Ex,Gd,1,Gd,12456,96.0,20,RL,1Story,48,337500
6,1458,Somerst,1999,1999,5,729,419,729,729,2,440,Detchd,Unf,1999.0,2,1,5,TA,TA,Gd,No,1,Fa,3230,34.0,160,FV,2Story,32,176000
8,2473,NridgHt,2004,2005,5,1143,0,1143,1330,3,852,BuiltIn,RFn,2004.0,2,1,9,Gd,Gd,Ex,Av,1,Gd,9591,76.0,60,RL,2Story,151,317000
6,981,NAmes,1971,1971,5,981,282,981,0,2,576,Detchd,Unf,1979.0,1,1,5,TA,TA,TA,No,0,Npfireplace,10530,73.0,20,RL,1Story,312,143250
8,2113,NoRidge,1995,1995,6,2109,1696,2113,0,3,839,Attchd,Fin,1995.0,2,1,7,Gd,Gd,Gd,Gd,1,TA,10437,91.0,20,RL,1Story,46,350000
5,1044,IDOTRR,1952,1952,5,540,0,1044,0,2,504,Basment,Unf,1952.0,1,0,4,Fa,Fa,TA,Av,0,Npfireplace,8712,66.0,20,C (all),1Story,0,55993
7,1363,ClearCr,1954,2005,7,1385,226,1363,0,2,439,Attchd,Unf,1954.0,1,0,5,TA,TA,Gd,Gd,2,TA,39104,73.0,20,RL,1Story,0,241500
6,1429,NAmes,1960,1987,6,1144,594,1429,0,2,572,Attchd,Unf,1960.0,1,0,7,Gd,TA,TA,No,2,Gd,14585,73.0,20,RL,1Story,110,181900
6,1977,NAmes,1964,1978,6,816,442,1127,850,2,540,Attchd,RFn,1964.0,1,1,9,TA,TA,TA,No,1,TA,9500,100.0,60,RL,2Story,52,165000
7,1145,Blmngtn,2005,2006,5,1145,16,1145,0,2,397,Attchd,Fin,2005.0,2,0,5,Gd,Gd,Gd,No,1,Gd,3182,43.0,120,RL,1Story,16,160200
6,1176,BrkSide,1934,1950,6,816,0,816,0,2,528,Detchd,Unf,1985.0,1,0,6,TA,TA,TA,No,1,Gd,6240,52.0,50,RM,1.5Fin,0,114500
5,1057,Sawyer,1962,1962,5,1057,417,1057,0,2,576,Detchd,Fin,1977.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7420,70.0,20,RL,1Story,0,132000
6,1679,SawyerW,1994,1998,5,1408,1138,1679,0,2,575,Attchd,RFn,1994.0,2,0,7,Gd,TA,Gd,No,1,Fa,8125,65.0,20,RL,1Story,42,193500
8,1566,Somerst,2008,2008,5,1566,1078,1566,0,2,750,Attchd,RFn,2008.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,9000,75.0,20,FV,1Story,168,262500
7,1422,CollgCr,2004,2004,5,1422,0,1422,0,2,626,Attchd,RFn,2004.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,8500,63.0,20,RL,1Story,60,179600
4,1529,Edwards,1945,1950,3,0,0,1088,441,1,240,Detchd,Unf,1945.0,2,0,9,TA,TA,NoBasement,NoBasement,0,Npfireplace,8405,50.0,50,RL,1.5Fin,0,98000
5,1268,NAmes,1954,1954,6,1268,540,1268,0,1,244,Attchd,Fin,1954.0,1,0,7,TA,TA,TA,No,1,Gd,7800,78.0,20,RL,1Story,98,132000
5,936,NAmes,1956,2000,7,936,248,936,0,1,308,Attchd,Fin,1956.0,1,0,4,TA,TA,TA,No,0,Npfireplace,5868,74.0,20,RL,1Story,0,129000
6,972,NAmes,1948,2002,6,972,680,972,0,1,240,Detchd,Unf,1948.0,1,0,5,TA,TA,TA,No,1,Gd,8000,50.0,20,RL,1Story,0,132000
6,1595,SWISU,1940,2000,5,940,388,1192,403,1,240,Attchd,Unf,1940.0,1,0,6,TA,TA,TA,No,2,Gd,8400,60.0,50,RL,1.5Fin,0,140000
7,1479,CollgCr,2003,2003,5,1453,1013,1479,0,2,558,Attchd,RFn,2003.0,2,0,7,Gd,Gd,Gd,Av,0,Npfireplace,10665,72.0,20,RL,1Story,29,226000
5,866,OldTown,1945,1997,9,686,329,866,0,0,0,NoGarage,NoGarage,0.0,1,0,4,Gd,TA,TA,No,0,Npfireplace,3880,40.0,30,RM,1Story,42,110500
7,1456,CollgCr,2006,2006,5,728,0,728,728,2,440,Attchd,Fin,2006.0,2,1,8,Gd,Gd,Gd,No,1,TA,11103,85.0,60,RL,2Story,0,155835
6,1750,Mitchel,1940,1985,7,983,660,983,767,1,423,Attchd,Unf,1989.0,2,0,7,TA,TA,Gd,Mn,0,Npfireplace,12508,75.0,50,RL,1.5Fin,0,160000
6,1790,NWAmes,1972,1972,5,732,247,1012,778,2,484,Attchd,RFn,1972.0,1,2,8,TA,TA,TA,No,1,TA,10400,80.0,60,RL,2Story,0,165150
6,1668,NAmes,1950,2005,8,856,120,1112,556,1,271,Attchd,Unf,1950.0,1,1,6,TA,TA,TA,No,0,Npfireplace,9600,80.0,50,RL,1.5Fin,0,140000
5,1039,Sawyer,1965,1965,4,1039,841,1039,0,2,504,Attchd,Unf,1965.0,1,1,6,TA,TA,TA,Mn,0,Npfireplace,11625,75.0,190,RL,1Story,0,131500
7,1548,BrkSide,1925,2007,7,952,0,952,596,2,672,Detchd,Unf,1978.0,2,1,5,Ex,Gd,TA,No,0,Npfireplace,7264,55.0,50,RL,1.5Fin,0,205000
6,1509,Timber,1988,1989,5,1461,783,1509,0,2,600,Attchd,RFn,1988.0,2,0,5,Gd,Gd,Gd,Av,1,Fa,10200,85.0,80,RL,SLvl,0,175000
6,1199,SawyerW,1993,1993,5,1199,300,1199,0,2,530,Attchd,RFn,1993.0,2,0,5,Gd,Gd,Gd,No,0,Npfireplace,7892,55.0,120,RL,1Story,63,153900
5,1792,NAmes,1974,1974,5,896,0,896,896,0,0,NoGarage,NoGarage,0.0,2,2,8,TA,TA,Gd,No,0,Npfireplace,9000,60.0,90,RL,2Story,45,136000
7,2418,NoRidge,1993,1994,5,1311,1173,1325,1093,3,983,Attchd,RFn,1993.0,2,1,9,Gd,Gd,Gd,Gd,1,TA,10542,96.0,60,RL,2Story,154,341000
4,907,NAmes,1957,1957,6,907,288,907,0,1,352,Detchd,Unf,1964.0,1,0,5,TA,TA,TA,No,0,Npfireplace,8593,77.0,20,RL,1Story,0,109008
5,833,OldTown,1954,2000,7,833,415,833,0,1,326,Detchd,Unf,1955.0,1,0,4,Gd,TA,TA,No,0,Npfireplace,5400,90.0,20,RL,1Story,0,117000
8,1959,Somerst,2006,2006,5,1088,0,1088,871,3,1025,Attchd,RFn,2006.0,2,1,8,Gd,Gd,Gd,Av,1,Gd,9000,75.0,60,FV,2Story,46,270000
9,2121,NridgHt,2006,2007,5,2121,0,2121,0,3,732,Attchd,Fin,2007.0,2,1,8,Ex,Ex,Ex,Gd,1,Ex,14450,107.0,20,RL,1Story,98,415298
4,520,BrkSide,1927,1950,6,520,0,520,0,1,240,Detchd,Unf,1920.0,1,0,4,Fa,TA,TA,No,0,Npfireplace,6324,60.0,30,RM,1Story,0,68500
6,923,SawyerW,1980,1980,5,923,543,923,0,1,264,Attchd,RFn,1980.0,2,0,5,TA,TA,Gd,No,1,TA,8012,50.0,120,RL,1Story,0,143000
7,1646,Crawfor,1941,1950,5,918,364,918,728,1,240,Detchd,Unf,1941.0,2,0,7,TA,TA,TA,No,2,Gd,7128,53.0,75,RL,2.5Unf,0,164000
8,1616,StoneBr,1995,1996,5,1595,1180,1616,0,2,608,Attchd,RFn,1995.0,2,0,5,Gd,Gd,Gd,No,1,TA,5389,39.0,120,RL,1Story,152,236500
6,1350,NWAmes,1974,1974,5,1064,0,1350,0,2,478,Attchd,RFn,1974.0,2,0,7,TA,TA,Gd,No,1,TA,10140,78.0,20,RL,1Story,0,165000
8,2270,NoRidge,1999,2007,7,1152,524,1164,1106,3,671,Attchd,Fin,1999.0,2,1,9,Gd,Gd,Gd,No,1,Gd,11764,92.0,60,RL,2Story,57,290000
8,1776,Timber,2006,2007,5,1732,80,1776,0,3,712,Attchd,Fin,2006.0,2,0,7,Gd,Gd,Ex,Gd,1,Gd,15306,93.0,20,RL,1Story,0,283463
6,1375,IDOTRR,1937,1950,6,780,0,780,595,1,544,Detchd,Unf,1979.0,1,1,6,Gd,TA,TA,No,1,Gd,9000,50.0,50,RM,1.5Fin,162,141000
4,952,NAmes,1956,1956,7,952,228,952,0,1,283,Detchd,Unf,1956.0,1,0,4,TA,TA,TA,No,0,Npfireplace,8475,73.0,20,RL,1Story,0,135750
5,943,NAmes,1979,1979,5,943,943,943,0,2,600,Detchd,Unf,1979.0,1,0,4,TA,TA,Gd,Gd,2,TA,7032,73.0,90,RL,SFoyer,0,135960
6,987,BrDale,1971,1971,5,483,387,483,504,1,264,Detchd,Unf,1971.0,1,1,4,TA,TA,TA,No,0,Npfireplace,1680,21.0,160,RM,2Story,0,85400
8,1414,Gilbert,2004,2004,5,707,0,707,707,2,403,Attchd,Fin,2004.0,2,1,6,Gd,Gd,Ex,Av,1,Gd,9056,74.0,60,RL,2Story,35,178000
6,1368,OldTown,1910,1993,7,684,0,684,684,1,216,Detchd,Unf,1930.0,1,0,7,TA,TA,TA,No,0,Npfireplace,3600,60.0,70,RM,2Story,158,114504
7,1411,NWAmes,1977,1977,5,1386,822,1411,0,2,544,Attchd,Fin,1977.0,2,0,6,TA,TA,TA,No,1,TA,11900,85.0,20,RL,1Story,0,82500
4,1588,ClearCr,1959,1959,4,0,0,1120,468,2,680,Detchd,Fin,1991.0,2,0,7,TA,TA,NoBasement,NoBasement,1,Gd,17120,80.0,50,RL,1.5Fin,59,134432
6,1400,Sawyer,1978,1978,7,672,209,672,728,2,440,Attchd,Fin,1978.0,1,1,6,TA,TA,TA,No,1,TA,7844,74.0,60,RL,2Story,0,149500
6,1728,Mitchel,1976,1976,5,1728,936,1728,0,2,574,Attchd,Unf,1976.0,2,0,8,TA,TA,TA,Gd,0,Npfireplace,12640,55.0,90,RL,1Story,0,150900
10,2020,NridgHt,2009,2009,5,2006,1436,2020,0,3,900,Attchd,Fin,2009.0,2,1,9,Ex,Ex,Ex,No,1,Gd,12220,94.0,20,RL,1Story,54,402861
5,1768,SWISU,1937,1950,7,731,569,981,787,1,240,Detchd,Unf,1939.0,1,1,7,Gd,TA,Gd,No,2,TA,7200,60.0,50,RL,1.5Fin,0,175000
7,1392,Somerst,2007,2007,5,689,0,703,689,2,540,Detchd,Unf,2007.0,2,0,5,Gd,Gd,Gd,No,0,Npfireplace,3604,34.0,160,FV,2Story,102,146000
8,2262,Timber,2003,2003,5,1482,871,1482,780,3,749,Attchd,Fin,2003.0,2,1,10,Gd,Gd,Gd,Gd,2,Gd,12244,85.0,60,RL,2Story,0,305000
5,1150,NAmes,1959,1959,6,1150,179,1150,0,1,300,Attchd,RFn,1959.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7945,70.0,20,RL,1Story,0,141000
5,780,CollgCr,1972,1972,7,780,632,780,0,1,352,Detchd,Unf,1973.0,1,0,4,TA,TA,TA,Av,0,Npfireplace,7200,60.0,20,RL,1Story,0,124900
5,1200,NAmes,1965,1998,8,864,661,1200,0,2,884,Detchd,Unf,1977.0,1,1,6,Gd,TA,TA,Mn,0,Npfireplace,9230,71.0,20,RL,1Story,64,146000
7,1431,CollgCr,1999,1999,5,1431,560,1431,0,2,666,Attchd,Fin,1999.0,2,0,6,Gd,Gd,Gd,Av,0,Npfireplace,9017,68.0,20,RL,1Story,35,192000
8,1338,StoneBr,2001,2001,5,1338,616,1338,0,2,582,Attchd,Fin,2001.0,2,0,6,Gd,Gd,Gd,Mn,0,Npfireplace,4920,41.0,120,RL,1Story,0,213500
5,999,NAmes,1962,1962,5,925,784,999,0,1,300,Attchd,Unf,1962.0,1,0,6,TA,TA,TA,Av,0,Npfireplace,10205,69.0,85,RL,SFoyer,72,134500
7,1504,Blmngtn,2005,2006,5,1346,16,1504,0,2,457,Attchd,Fin,2005.0,2,0,7,Gd,Gd,Gd,No,1,Gd,3182,43.0,120,RL,1Story,0,181000
6,2614,NWAmes,1974,1997,7,1522,956,1548,1066,2,624,Attchd,RFn,1974.0,2,1,9,TA,TA,TA,No,1,TA,10800,90.0,60,RL,2Story,243,240000
6,1690,Gilbert,2000,2000,5,924,0,948,742,2,463,Attchd,RFn,2000.0,2,1,7,TA,TA,Gd,No,1,TA,8063,65.0,60,RL,2Story,48,181000
5,910,NAmes,1953,1996,7,105,0,910,0,2,414,Attchd,Unf,1953.0,1,0,5,Gd,Gd,TA,Av,0,Npfireplace,8892,74.0,20,RL,1Story,0,116000
4,630,MeadowV,1970,1970,4,630,509,630,0,1,286,Attchd,Unf,1970.0,1,0,3,TA,TA,Gd,Av,0,Npfireplace,1477,21.0,180,RM,SFoyer,0,80000
6,952,BrkSide,1916,1950,6,952,0,952,0,1,192,Detchd,Unf,1916.0,1,0,4,Fa,TA,TA,No,1,Gd,8854,51.0,30,RL,1.5Unf,98,121000
6,1574,NWAmes,1976,1976,5,796,712,790,784,2,566,Attchd,Fin,1976.0,2,1,6,TA,TA,Gd,Mn,1,TA,18800,80.0,60,RL,2Story,111,190000
7,1626,NridgHt,2003,2004,5,764,567,764,862,2,474,BuiltIn,RFn,2003.0,2,0,6,Gd,Gd,Gd,No,0,Npfireplace,2268,36.0,160,RL,2Story,27,173000
6,1556,Blueste,1980,1980,6,716,81,716,840,2,452,Attchd,Fin,1980.0,2,1,6,TA,TA,Gd,No,1,TA,1950,24.0,160,RM,2Story,0,151000
6,1441,NPkVill,1978,1978,6,855,311,855,586,2,440,Attchd,Unf,1978.0,2,1,7,TA,TA,TA,No,1,TA,2289,24.0,160,RL,2Story,0,148500
4,1768,Sawyer,1968,1968,5,1768,0,1768,0,0,0,NoGarage,NoGarage,0.0,2,0,8,TA,TA,TA,No,0,Npfireplace,10778,72.0,90,RL,1Story,0,136500
8,1636,Somerst,2006,2006,5,1623,63,1636,0,3,865,Attchd,RFn,2006.0,2,0,8,Gd,Gd,Gd,No,1,Gd,13501,116.0,20,RL,1Story,60,255000
4,1029,Sawyer,1961,1961,5,1029,903,1029,0,1,261,Attchd,Unf,1961.0,1,0,5,TA,TA,TA,Mn,0,Npfireplace,7943,61.0,20,RL,1Story,0,118500
6,1756,Timber,1996,1997,5,872,742,888,868,2,422,Attchd,Fin,1996.0,2,1,7,TA,Gd,Ex,No,0,Npfireplace,9303,72.0,60,RL,2Story,122,204000
7,1453,ClearCr,1986,1986,5,1453,1082,1453,0,2,445,Attchd,RFn,1986.0,1,1,6,Gd,TA,Gd,Gd,1,TA,5271,80.0,120,RL,1Story,80,190000
6,1212,Sawyer,1977,1995,7,506,506,1212,0,2,492,Attchd,Unf,1978.0,1,0,6,TA,TA,Gd,Av,1,TA,8471,88.0,80,RL,SLvl,12,151000
6,1639,SWISU,1936,1950,5,1064,0,1166,0,1,240,Detchd,Unf,1936.0,1,0,6,TA,TA,TA,No,0,Npfireplace,10480,51.0,50,RL,1.5Fin,0,115000
9,2184,NridgHt,2008,2008,5,1104,936,1130,1054,3,836,Attchd,Fin,2008.0,2,1,10,Ex,Ex,Ex,Av,1,Gd,11308,96.0,60,RL,2Story,102,335000
7,2223,NAmes,1973,1973,6,2223,1880,2223,0,2,516,Attchd,Fin,1973.0,2,0,8,TA,TA,Gd,Gd,2,Gd,13651,95.0,20,RL,1Story,0,244000
7,854,BrkSide,1929,2001,8,832,0,854,0,2,576,Detchd,Unf,1991.0,1,0,5,TA,TA,TA,No,0,Npfireplace,6120,51.0,45,RM,1.5Unf,112,132000
6,1261,NAmes,1958,1958,6,1261,662,1261,0,2,433,Attchd,RFn,1958.0,1,0,6,TA,TA,TA,No,1,TA,9120,76.0,20,RL,1Story,0,163000
4,1440,Edwards,1977,1977,3,1440,1440,1440,0,0,0,NoGarage,NoGarage,0.0,2,0,8,TA,TA,Gd,Gd,0,Npfireplace,7711,42.0,90,RL,1Story,0,150000
5,1111,Edwards,1941,1950,6,616,236,616,495,1,200,Detchd,Unf,1941.0,1,0,5,TA,TA,TA,Mn,0,Npfireplace,9084,60.0,50,RL,1.5Fin,0,95000
3,1163,OldTown,1955,2005,8,1162,256,1163,0,1,220,Attchd,Unf,1955.0,1,0,6,TA,TA,TA,No,0,Npfireplace,5820,49.0,20,RM,1Story,98,126175
6,1097,SawyerW,1984,1985,5,1040,338,1097,0,2,480,Attchd,Unf,1986.0,2,0,6,TA,TA,Gd,No,0,Npfireplace,9672,81.0,20,RL,1Story,0,152000
5,902,Sawyer,1967,1967,6,876,599,902,0,1,288,Attchd,Unf,1967.0,1,0,6,TA,TA,TA,No,0,Npfireplace,6173,70.0,20,RL,1Story,0,125500
6,784,SawyerW,1928,1950,3,784,0,784,0,2,360,Detchd,Unf,1950.0,1,0,5,TA,TA,Fa,No,0,Npfireplace,9000,60.0,45,RH,1.5Unf,0,76000
4,630,MeadowV,1972,1972,7,630,495,630,0,0,0,NoGarage,NoGarage,0.0,1,0,3,TA,TA,Gd,Av,0,Npfireplace,1890,21.0,180,RM,SFoyer,0,81000
5,2320,Gilbert,1948,1950,6,0,0,1547,720,2,672,Attchd,Unf,1979.0,2,0,7,TA,TA,NoBasement,NoBasement,1,TA,14762,65.0,60,RL,2Story,144,169000
4,901,OldTown,1954,2000,7,901,0,901,0,1,281,Detchd,Unf,1954.0,1,0,4,TA,TA,TA,No,0,Npfireplace,6000,50.0,20,RM,1Story,0,107900
5,990,CollgCr,1994,1995,5,990,686,990,0,2,672,Detchd,Unf,1996.0,1,0,5,TA,TA,Gd,No,0,Npfireplace,9245,57.0,20,RL,1Story,0,145000
5,1252,BrkSide,1908,1991,8,504,0,936,316,2,576,Attchd,Unf,1986.0,1,0,5,TA,TA,Fa,No,0,Npfireplace,7438,92.0,50,RL,1.5Fin,0,127000
6,1342,NWAmes,1967,1967,5,1372,251,1342,0,2,457,Attchd,Unf,1967.0,2,0,7,TA,TA,TA,No,1,Gd,9790,80.0,20,RL,1Story,0,161500
7,1829,CollgCr,2003,2003,6,941,483,941,888,2,613,Attchd,RFn,2003.0,2,1,7,Gd,Gd,Gd,No,1,TA,9548,44.0,60,RL,2Story,39,237000
5,2002,Crawfor,1949,1950,6,1001,284,1001,1001,3,871,2Types,Unf,1949.0,2,0,8,TA,TA,TA,No,0,Npfireplace,6270,82.0,90,RH,2Story,0,145000
5,1526,Edwards,1957,2002,6,1216,383,1526,0,1,364,Basment,Unf,1957.0,1,0,7,TA,TA,TA,Av,1,Gd,8562,68.0,20,RL,1Story,78,144500
6,2229,OldTown,1912,1950,6,755,0,929,929,0,0,NoGarage,NoGarage,0.0,1,0,8,TA,TA,TA,No,0,Npfireplace,5520,92.0,75,RM,2.5Fin,198,104000
6,958,NPkVill,1976,1976,6,958,958,958,0,2,440,Attchd,RFn,1976.0,2,0,5,TA,TA,Gd,No,0,Npfireplace,4928,24.0,120,RL,1Story,60,143750
7,1569,Blmngtn,2007,2007,5,1386,988,1569,0,3,660,Attchd,RFn,2007.0,2,0,7,Gd,Gd,Gd,No,1,TA,3635,51.0,120,RL,1Story,20,175900
8,2630,NoRidge,1998,1998,5,1470,986,1470,1160,3,696,Attchd,Fin,1998.0,2,1,8,Gd,Gd,Gd,No,1,TA,9200,80.0,60,RL,2Story,66,315000
4,605,Edwards,1920,2002,7,528,348,605,0,0,0,NoGarage,NoGarage,0.0,1,0,5,TA,TA,TA,Mn,0,Npfireplace,9098,58.0,30,RL,1Story,0,86000
8,2392,NoRidge,1997,1998,5,1396,1074,1407,985,3,870,Attchd,Fin,1997.0,2,1,7,Gd,Gd,Gd,No,1,TA,9452,82.0,60,RL,2Story,70,348000
3,894,IDOTRR,1935,1950,4,894,0,894,0,3,1248,Detchd,RFn,1994.0,1,0,6,TA,Fa,TA,No,0,Npfireplace,18000,120.0,30,C (all),1Story,20,81000
6,1258,NWAmes,1971,2004,7,1258,656,1258,0,2,528,Attchd,RFn,1971.0,2,0,5,Gd,Gd,TA,No,0,Npfireplace,11040,80.0,20,RL,1Story,0,145000
6,1218,Somerst,2009,2009,5,1218,27,1218,0,2,676,Attchd,Fin,2009.0,2,0,4,Gd,Gd,Gd,No,0,Npfireplace,7862,75.0,20,FV,1Story,102,208300
5,954,CollgCr,1976,1976,5,911,483,954,0,2,576,Detchd,Unf,1976.0,1,0,6,TA,TA,TA,Av,0,Npfireplace,10780,55.0,80,RL,SLvl,0,132500
6,1412,Timber,1988,1988,5,1392,1005,1412,0,2,576,Attchd,Unf,1988.0,2,0,6,Gd,TA,Gd,Mn,1,TA,11457,130.0,20,RL,1Story,0,175000
7,2127,SawyerW,1991,1991,5,1104,48,912,1215,3,833,Attchd,RFn,1991.0,2,1,8,Gd,Gd,Ex,Mn,1,TA,13125,103.0,60,RL,2Story,192,238000
7,1434,SawyerW,2001,2001,5,1454,20,1434,0,2,527,Attchd,RFn,2001.0,2,0,6,Gd,Gd,Gd,No,1,TA,8529,65.0,20,RL,1Story,39,189000
6,1484,Gilbert,2005,2005,5,742,0,742,742,2,390,Attchd,Fin,2005.0,2,1,8,Gd,Gd,Gd,No,1,Gd,12589,149.0,60,RL,2Story,24,174000
9,1620,Timber,2007,2008,5,1620,1022,1620,0,3,912,Attchd,Fin,2008.0,2,0,6,Ex,Gd,Ex,Gd,1,Ex,12898,89.0,20,RL,1Story,0,315500
6,1069,NPkVill,1977,1977,6,1069,559,1069,0,2,440,Attchd,RFn,1977.0,2,0,4,TA,TA,Gd,No,0,Npfireplace,4043,53.0,120,RL,1Story,55,140000
5,938,CollgCr,1975,1980,6,938,280,938,0,1,308,Detchd,Unf,1977.0,1,0,5,TA,TA,Gd,Av,0,Npfireplace,9200,69.0,20,RL,1Story,0,130250
6,1224,Mitchel,1999,1999,5,1224,883,1224,0,2,402,Attchd,Fin,1999.0,2,0,5,TA,TA,Ex,No,0,Npfireplace,4500,75.5,120,RM,1Story,304,165000
4,845,Edwards,1957,1957,3,0,0,845,0,1,290,Detchd,Unf,1957.0,1,0,5,TA,TA,NoBasement,NoBasement,0,Npfireplace,11500,67.0,20,RL,1Story,0,84000
5,1098,NAmes,1955,1955,7,1098,902,1098,0,1,260,Attchd,Unf,1955.0,1,0,6,TA,TA,TA,No,0,Npfireplace,7390,73.0,20,RL,1Story,0,135000
6,2358,ClearCr,1908,1997,8,907,0,1307,1051,2,360,Detchd,Unf,1908.0,3,0,10,TA,TA,TA,No,1,Gd,45600,75.0,50,RL,1.5Fin,40,240000
6,1732,SawyerW,1985,1985,5,741,0,977,755,2,476,Attchd,Fin,1985.0,2,1,7,Gd,Gd,Gd,No,1,TA,9206,77.0,60,RL,2Story,46,178000
7,1872,NWAmes,1988,1988,5,1845,929,1872,0,2,604,Attchd,Fin,1988.0,2,0,6,TA,TA,Gd,Av,1,TA,10400,80.0,20,RL,1Story,39,241500
5,928,OldTown,1957,1957,6,928,308,928,0,1,288,Attchd,Fin,1957.0,1,0,5,TA,TA,TA,No,0,Npfireplace,6000,50.0,20,RM,1Story,0,112500
7,2329,SawyerW,1990,1990,5,1475,1085,1532,797,2,514,Attchd,Unf,1990.0,2,1,10,Gd,TA,Gd,No,1,Ex,11839,86.0,60,RL,2Story,121,262280
8,2482,Timber,2005,2006,5,1094,0,1133,1349,3,642,BuiltIn,Fin,2005.0,2,1,9,Gd,Gd,Gd,Gd,1,Gd,12665,88.0,60,RL,2Story,39,281213
7,1692,Timber,2009,2009,5,846,0,846,846,2,650,Attchd,RFn,2009.0,2,1,6,Gd,TA,Ex,Av,0,Npfireplace,13159,83.0,60,RL,2Story,114,224500
